SubCapitulo,Classe
Outras causas externas de traumatismos acidentais (W00-X59),Exposição a outros fatores especificados
Outras causas externas de traumatismos acidentais (W00-X59),Exposição a fatores não especificados
Lesões autoprovocadas intencionalmente (X60-X84),"Auto-intoxicação por e exposição, intencional, a analgésicos, antipiréticos e anti-reumáticos, não-opiáceos"
Lesões autoprovocadas intencionalmente (X60-X84),"Auto-intoxicação por e exposição, intencional, a drogas anticonvulsivantes [antiepilépticos] sedativos, hipnóticos, antiparkinsonianos e psicotrópicos não classificados em outra parte"
Lesões autoprovocadas intencionalmente (X60-X84),"Auto-intoxicação por e exposição, intencional, a narcóticos e psicodislépticos [alucinógenos] não classificados em outra parte"
Lesões autoprovocadas intencionalmente (X60-X84),"Auto-intoxicação por e exposição, intencional, a outras substâncias farmacológicas de ação sobre o sistema nervoso autônomo"
Lesões autoprovocadas intencionalmente (X60-X84),"Auto-intoxicação por e exposição, intencional, a outras drogas, medicamentos e substâncias biológicas e às não especificadas"
Lesões autoprovocadas intencionalmente (X60-X84),Auto-intoxicação voluntária por álcool
Lesões autoprovocadas intencionalmente (X60-X84),"Auto-intoxicação intencional por solventes orgânicos, hidrocarbonetos halogenados e seus vapores"
Lesões autoprovocadas intencionalmente (X60-X84),Auto-intoxicação intencional por outros gases e vapores
Lesões autoprovocadas intencionalmente (X60-X84),"Auto-intoxicação por e exposição, intencional, a pesticidas"
Lesões autoprovocadas intencionalmente (X60-X84),"Auto-intoxicação por e exposição, intencional, a outros produtos químicos e substâncias nocivas não especificadas"
Lesões autoprovocadas intencionalmente (X60-X84),"Lesão autoprovocada intencionalmente por enforcamento, estrangulamento e sufocação"
Lesões autoprovocadas intencionalmente (X60-X84),Lesão autoprovocada intencionalmente por afogamento e submersão
Lesões autoprovocadas intencionalmente (X60-X84),Lesão autoprovocada intencionalmente por disparo de arma de fogo de mão
Lesões autoprovocadas intencionalmente (X60-X84),"Lesão autoprovocada intencionalmente por disparo de espingarda, carabina, ou arma de fogo de maior calibre"
Lesões autoprovocadas intencionalmente (X60-X84),Lesão autoprovocada intencionalmente por disparo de outra arma de fogo e de arma de fogo não especificada
Lesões autoprovocadas intencionalmente (X60-X84),Lesão autoprovocada intencionalmente por dispositivos explosivos
Lesões autoprovocadas intencionalmente (X60-X84),"Lesão autoprovocada intencionalmente pela fumaça, pelo fogo e por chamas"
Lesões autoprovocadas intencionalmente (X60-X84),"Lesão autoprovocada intencionalmente por vapor de água, gases ou objetos quentes"
Lesões autoprovocadas intencionalmente (X60-X84),Lesão autoprovocada intencionalmente por objeto cortante ou penetrante
Lesões autoprovocadas intencionalmente (X60-X84),Lesão autoprovocada intencionalmente por objeto contundente
Lesões autoprovocadas intencionalmente (X60-X84),Lesão autoprovocada intencionalmente por precipitação de um lugar elevado
Lesões autoprovocadas intencionalmente (X60-X84),Lesão autoprovocada intencionalmente por precipitação ou permanência diante de um objeto em movimento
Lesões autoprovocadas intencionalmente (X60-X84),Lesão autoprovocada intencionalmente por impacto de um veículo a motor
Lesões autoprovocadas intencionalmente (X60-X84),Lesão autoprovocada intencionalmente por outros meios especificados
Lesões autoprovocadas intencionalmente (X60-X84),Lesão autoprovocada intencionalmente por meios não especificados
Agressões (X85-Y09),"Agressão por meio de drogas, medicamentos e substâncias biológicas"
Agressões (X85-Y09),Agressão por meio de substâncias corrosivas
Agressões (X85-Y09),Agressão por pesticidas
Agressões (X85-Y09),Agressão por meio de gases e vapores
Agressões (X85-Y09),Agressão por meio de outros produtos químicos e substâncias nocivas especificados
Agressões (X85-Y09),Agressão por meio de produtos químicos e substâncias nocivas não especificados
Agressões (X85-Y09),"Agressão por meio de enforcamento, estrangulamento e sufocação"
Agressões (X85-Y09),Agressão por meio de afogamento e submersão
Agressões (X85-Y09),Agressão por meio de disparo de arma de fogo de mão
Agressões (X85-Y09),"Agressão por meio de disparo de espingarda, carabina ou arma de fogo de maior calibre"
Agressões (X85-Y09),Agressão por meio de disparo de outra arma de fogo ou de arma não especificada
Agressões (X85-Y09),Agressão por meio de material explosivo
Agressões (X85-Y09),"Agressão por meio de fumaça, fogo e chamas"
Agressões (X85-Y09),"Agressão por meio de vapor de água, gases ou objetos quentes"
Agressões (X85-Y09),Agressão por meio de objeto cortante ou penetrante
Agressões (X85-Y09),Agressão por meio de um objeto contundente
Agressões (X85-Y09),Agressão por meio de projeção de um lugar elevado
Agressões (X85-Y09),Agressão por meio de projeção ou colocação da vítima diante de um objeto em movimento
Agressões (X85-Y09),Agressão por meio de impacto de um veículo a motor
Agressões (X85-Y09),Agressão por meio de força corporal
Agressões (X85-Y09),Agressão sexual por meio de força física
Agressões (X85-Y09),Negligência e abandono
Agressões (X85-Y09),Outras síndromes de maus tratos
Agressões (X85-Y09),Agressão por outros meios especificados
Agressões (X85-Y09),Agressão por meios não especificados
Eventos (fatos) cuja intenção é indeterminada (Y10-Y34),"Envenenamento [intoxicação] por e exposição a analgésicos, antipiréticos e anti-reumáticos não-opiáceos, intenção não determinada"
Eventos (fatos) cuja intenção é indeterminada (Y10-Y34),"Envenenamento [intoxicação] por e exposição a anticonvulsivantes [antiepilépticos], sedativos, hipnóticos, antiparkinsonianos e psicotrópicos não classificados em outra parte, intenção não determinada"
Eventos (fatos) cuja intenção é indeterminada (Y10-Y34),"Envenenamento [intoxicação] por e exposição a narcóticos e a psicodislépticos [alucinógenos] não classificados em outra parte, intenção não determinada"
Eventos (fatos) cuja intenção é indeterminada (Y10-Y34),"Envenenamento [intoxicação] por e exposição a outras substâncias farmacológicas de ação sobre o sistema nervoso autônomo, intenção não determinada"
Eventos (fatos) cuja intenção é indeterminada (Y10-Y34),"Envenenamento [intoxicação] por e exposição a outras drogas, medicamentos e substâncias biológicas e as não especificadas, intenção não determinada"
Eventos (fatos) cuja intenção é indeterminada (Y10-Y34),"Envenenamento [intoxicação] por e exposição ao álcool, intenção não determinada"
Eventos (fatos) cuja intenção é indeterminada (Y10-Y34),"Envenenamento [intoxicação] por e exposição a solventes orgânicos e hidrocarbonetos halogenados e seus vapores, intenção não determinada"
Eventos (fatos) cuja intenção é indeterminada (Y10-Y34),"Envenenamento [intoxicação] por e exposição a outros gases e vapores, intenção não determinada"
Eventos (fatos) cuja intenção é indeterminada (Y10-Y34),"Envenenamento [intoxicação] por e exposição a pesticidas, intenção não determinada"
Eventos (fatos) cuja intenção é indeterminada (Y10-Y34),"Envenenamento [intoxicação] por e exposição a outros produtos químicos e substâncias nocivas e aos não especificados, intenção não determinada"
Eventos (fatos) cuja intenção é indeterminada (Y10-Y34),"Enforcamento, estrangulamento e sufocação, intenção não determinada"
Eventos (fatos) cuja intenção é indeterminada (Y10-Y34),"Afogamento e submersão, intenção não determinada"
Eventos (fatos) cuja intenção é indeterminada (Y10-Y34),"Disparo de pistola, intenção não determinada"
Eventos (fatos) cuja intenção é indeterminada (Y10-Y34),"Disparo de fuzil, carabina e arma de fogo de maior calibre, intenção não determinada"
Eventos (fatos) cuja intenção é indeterminada (Y10-Y34),"Disparo de outra arma de fogo e de arma de fogo não especificada, intenção não determinada"
Eventos (fatos) cuja intenção é indeterminada (Y10-Y34),"Contato com material explosivo, intenção não determinada"
Eventos (fatos) cuja intenção é indeterminada (Y10-Y34),"Exposição a fumaça, fogo e chamas, intenção não determinada"
Eventos (fatos) cuja intenção é indeterminada (Y10-Y34),"Exposição a vapor de água, gases ou objetos quentes, intenção não determinada"
Eventos (fatos) cuja intenção é indeterminada (Y10-Y34),"Contato com objeto cortante ou penetrante, intenção não determinada"
Eventos (fatos) cuja intenção é indeterminada (Y10-Y34),"Contato com objeto contundente, intenção não determinada"
Eventos (fatos) cuja intenção é indeterminada (Y10-Y34),"Queda, salto ou empurrado de um lugar elevado, intenção não determinada"
Eventos (fatos) cuja intenção é indeterminada (Y10-Y34),"Queda, permanência ou corrida diante de um objeto em movimento, intenção não determinada"
Eventos (fatos) cuja intenção é indeterminada (Y10-Y34),"Impacto de um veículo a motor, intenção não determinada"
Eventos (fatos) cuja intenção é indeterminada (Y10-Y34),"Outros fatos ou eventos especificados, intenção não determinada"
Eventos (fatos) cuja intenção é indeterminada (Y10-Y34),Fatos ou eventos não especificados e intenção não determinada
Intervenções legais e operações de guerra (Y35-Y36),Intervenção legal
Intervenções legais e operações de guerra (Y35-Y36),Operações de guerra
Complicações de assistência médica e cirúrgica (Y40-Y84),Efeitos adversos de antibióticos sistêmicos
Complicações de assistência médica e cirúrgica (Y40-Y84),Efeitos adversos de outros antiinfecciosos e antiparasitários sistêmicos
Complicações de assistência médica e cirúrgica (Y40-Y84),"Efeitos adversos de hormônios e seus substitutos sintéticos e antagonistas, não classificados em outra parte"
Complicações de assistência médica e cirúrgica (Y40-Y84),Efeitos adversos de substâncias de ação primariamente sistêmica
Complicações de assistência médica e cirúrgica (Y40-Y84),Efeitos adversos de substâncias farmacológicas que atuam primariamente sobre os constituintes do sangue
Complicações de assistência médica e cirúrgica (Y40-Y84),"Efeitos adversos de substâncias analgésicas, antipiréticas e antiinflamatórias"
Complicações de assistência médica e cirúrgica (Y40-Y84),Efeitos adversos de drogas anticonvulsivantes (antiepilépticas) e antiparkinsonianas
Complicações de assistência médica e cirúrgica (Y40-Y84),"Efeitos adversos de sedativos, hipnóticos e tranquilizantes [ansiolíticos]"
Complicações de assistência médica e cirúrgica (Y40-Y84),Efeitos adversos de anestésicos e gases terapêuticos
Complicações de assistência médica e cirúrgica (Y40-Y84),"Efeitos adversos de substâncias psicotrópicas, não classificadas em outra parte"
Complicações de assistência médica e cirúrgica (Y40-Y84),"Efeitos adversos de estimulantes do sistema nervoso central, não classificados em outra parte"
Complicações de assistência médica e cirúrgica (Y40-Y84),Efeitos adversos de drogas que atuam primariamente sobre o sistema nervoso autônomo
Complicações de assistência médica e cirúrgica (Y40-Y84),Efeitos adversos de substâncias que atuam primariamente sobre o aparelho cardiovascular
Complicações de assistência médica e cirúrgica (Y40-Y84),Efeitos adversos de substâncias que atuam primariamente sobre o aparelho gastrointestinal
Complicações de assistência médica e cirúrgica (Y40-Y84),"Efeitos adversos de substâncias que atuam primariamente sobre o metabolismo da água, dos sais minerais e do ácido úrico"
Complicações de assistência médica e cirúrgica (Y40-Y84),Efeitos adversos de substâncias que atuam primariamente sobre os músculos lisos e esqueléticos e sobre o aparelho respiratório
Complicações de assistência médica e cirúrgica (Y40-Y84),"Efeitos adversos de substâncias de uso tópico que atuam primariamente sobre a pele e as membranas mucosas e drogas de uso oftalmológico, otorrinolaringológico e dentário"
Complicações de assistência médica e cirúrgica (Y40-Y84),Efeitos adversos de outras drogas e medicamentos e as não especificadas
Complicações de assistência médica e cirúrgica (Y40-Y84),Efeitos adversos de vacinas bacterianas
Complicações de assistência médica e cirúrgica (Y40-Y84),Efeitos adversos de outras vacinas e substâncias biológicas e as não especificadas
Complicações de assistência médica e cirúrgica (Y40-Y84),"Corte, punção, perfuração ou hemorragia acidentais durante a prestação de cuidados médicos ou cirúrgicos"
Complicações de assistência médica e cirúrgica (Y40-Y84),Objeto estranho deixado acidentalmente no corpo durante a prestação de cuidados cirúrgicos e médicos
Complicações de assistência médica e cirúrgica (Y40-Y84),Assepsia insuficiente durante a prestação de cuidados cirúrgicos e médicos
Complicações de assistência médica e cirúrgica (Y40-Y84),Erros de dosagem durante a prestação de cuidados médicos e cirúrgicos
Complicações de assistência médica e cirúrgica (Y40-Y84),Medicamentos ou substâncias biológicas contaminados
Complicações de assistência médica e cirúrgica (Y40-Y84),Outros acidentes durante a prestação de cuidados médicos e cirúrgicos
Complicações de assistência médica e cirúrgica (Y40-Y84),Não administração de cuidado médico e cirúrgico
Complicações de assistência médica e cirúrgica (Y40-Y84),Acidente não especificado durante a prestação de cuidado médico e cirúrgico
Complicações de assistência médica e cirúrgica (Y40-Y84),"Dispositivos (aparelhos) de anestesiologia, associados a incidentes adversos"
Complicações de assistência médica e cirúrgica (Y40-Y84),"Dispositivos (aparelhos) cardiovasculares, associados a incidentes adversos"
Complicações de assistência médica e cirúrgica (Y40-Y84),"Dispositivos (aparelhos) utilizados em otorrinolaringologia, associados a incidentes adversos"
Complicações de assistência médica e cirúrgica (Y40-Y84),"Dispositivos (aparelhos) usados em gastroenterologia e em urologia, associados a incidentes adversos"
Complicações de assistência médica e cirúrgica (Y40-Y84),"Dispositivos (aparelhos) gerais de uso hospitalar ou pessoal, associados a incidentes adversos"
Complicações de assistência médica e cirúrgica (Y40-Y84),"Dispositivos (aparelhos) utilizados em neurologia, associados a incidentes adversos"
Complicações de assistência médica e cirúrgica (Y40-Y84),"Dispositivos (aparelhos) utilizados em obstetrícia e em ginecologia, associados a incidentes adversos"
Complicações de assistência médica e cirúrgica (Y40-Y84),"Dispositivos (aparelhos) utilizados em oftalmologia, associados a incidentes adversos"
Complicações de assistência médica e cirúrgica (Y40-Y84),"Dispositivos (aparelhos) utilizados em radiologia, associados a incidentes adversos"
Complicações de assistência médica e cirúrgica (Y40-Y84),"Dispositivos (aparelhos) ortopédicos, associado a incidentes adversos"
Complicações de assistência médica e cirúrgica (Y40-Y84),"Dispositivos (aparelhos) utilizados em medicina física (fisiatria), associado a incidentes adversos"
Complicações de assistência médica e cirúrgica (Y40-Y84),"Dispositivos (aparelhos) utilizados em cirurgia geral ou cirurgia plástica, associados a incidente adversos"
Complicações de assistência médica e cirúrgica (Y40-Y84),Outros dispositivos (aparelhos) associados a incidentes adversos e os não especificados
Complicações de assistência médica e cirúrgica (Y40-Y84),"Reação anormal em paciente ou complicação tardia, causadas por intervenção cirúrgica e por outros atos cirúrgicos, sem menção de acidente durante a intervenção"
Complicações de assistência médica e cirúrgica (Y40-Y84),"Reação anormal em paciente ou complicação tardia, causadas por outros procedimentos médicos, sem menção de acidente durante o procedimento"
Seqüelas de causas externas de morbidade e de mortalidade (Y85-Y89),Seqüelas de acidentes de transporte
Seqüelas de causas externas de morbidade e de mortalidade (Y85-Y89),Seqüelas de outros acidentes
Seqüelas de causas externas de morbidade e de mortalidade (Y85-Y89),"Seqüelas de uma lesão autoprovocada intencionalmente, de agressão ou de um fato cuja intenção é indeterminada"
Seqüelas de causas externas de morbidade e de mortalidade (Y85-Y89),Seqüelas de cuidado médico ou cirúrgico considerados como uma causa externa
Seqüelas de causas externas de morbidade e de mortalidade (Y85-Y89),Seqüelas de outras causas externas
Fatores suplementares relacionados com as causas de morbidade e de mortalidade classificados em outra parte (Y90-Y98),Evidência de alcoolismo determinada por taxas de alcoolemia
Fatores suplementares relacionados com as causas de morbidade e de mortalidade classificados em outra parte (Y90-Y98),Evidência de alcoolismo determinada pelo nível da intoxicação
Fatores suplementares relacionados com as causas de morbidade e de mortalidade classificados em outra parte (Y90-Y98),Circunstância relativa as condições nosocomiais (hospitalares)
Fatores suplementares relacionados com as causas de morbidade e de mortalidade classificados em outra parte (Y90-Y98),Circunstância relativa às condições de trabalho
Fatores suplementares relacionados com as causas de morbidade e de mortalidade classificados em outra parte (Y90-Y98),Circunstâncias relativas a condições de poluição ambiental
Fatores suplementares relacionados com as causas de morbidade e de mortalidade classificados em outra parte (Y90-Y98),Circunstâncias relativas a condições do modo de vida
Fatores que influenciam o estado de saúde e o contato com os serviços de saúde (Z00-Z99),Exame geral e investigação de pessoas sem queixas ou diagnóstico relatado
Fatores que influenciam o estado de saúde e o contato com os serviços de saúde (Z00-Z99),Outros exames e investigações especiais de pessoas sem queixa ou diagnóstico relatado
Fatores que influenciam o estado de saúde e o contato com os serviços de saúde (Z00-Z99),Exame médico e consulta com finalidades administrativas
Fatores que influenciam o estado de saúde e o contato com os serviços de saúde (Z00-Z99),Observação e avaliação médica por doenças e afecções suspeitas
Fatores que influenciam o estado de saúde e o contato com os serviços de saúde (Z00-Z99),Exame e observação por outras razões
Fatores que influenciam o estado de saúde e o contato com os serviços de saúde (Z00-Z99),Exame de seguimento após tratamento por neoplasia maligna
Fatores que influenciam o estado de saúde e o contato com os serviços de saúde (Z00-Z99),Exame de seguimento após tratamento de outras afecções que não neoplasias malignas
Fatores que influenciam o estado de saúde e o contato com os serviços de saúde (Z00-Z99),"Exame geral de rotina (""check up"") de uma subpopulação definida"
Fatores que influenciam o estado de saúde e o contato com os serviços de saúde (Z00-Z99),"Exame especial de rastreamento (""screening"") de doenças infecciosas e parasitárias"
Fatores que influenciam o estado de saúde e o contato com os serviços de saúde (Z00-Z99),"Exame especial de rastreamento (""screening"") de neoplasias"
Fatores que influenciam o estado de saúde e o contato com os serviços de saúde (Z00-Z99),"Exame especial de rastreamento (""screening"") de outros transtornos e doenças"
Fatores que influenciam o estado de saúde e o contato com os serviços de saúde (Z00-Z99),Contato com e exposição a doenças transmissíveis
Fatores que influenciam o estado de saúde e o contato com os serviços de saúde (Z00-Z99),Estado de infecção assintomática pelo vírus da imunodeficiência humana [HIV]
Fatores que influenciam o estado de saúde e o contato com os serviços de saúde (Z00-Z99),Portador de doença infecciosa
Fatores que influenciam o estado de saúde e o contato com os serviços de saúde (Z00-Z99),Necessidade de imunização contra uma única doença bacteriana
Fatores que influenciam o estado de saúde e o contato com os serviços de saúde (Z00-Z99),Necessidade de imunização contra algumas doenças virais únicas
Fatores que influenciam o estado de saúde e o contato com os serviços de saúde (Z00-Z99),Necessidade de imunização contra outras doenças virais únicas
Fatores que influenciam o estado de saúde e o contato com os serviços de saúde (Z00-Z99),Necessidade de imunização contra outras doenças infecciosas únicas
Fatores que influenciam o estado de saúde e o contato com os serviços de saúde (Z00-Z99),Necessidade de imunização associada contra combinações de doenças infecciosas
Fatores que influenciam o estado de saúde e o contato com os serviços de saúde (Z00-Z99),Imunização não realizada
Fatores que influenciam o estado de saúde e o contato com os serviços de saúde (Z00-Z99),Necessidade de outras medidas profiláticas
Fatores que influenciam o estado de saúde e o contato com os serviços de saúde (Z00-Z99),Anticoncepção
Fatores que influenciam o estado de saúde e o contato com os serviços de saúde (Z00-Z99),Medidas de procriação
Fatores que influenciam o estado de saúde e o contato com os serviços de saúde (Z00-Z99),Exame ou teste de gravidez
Fatores que influenciam o estado de saúde e o contato com os serviços de saúde (Z00-Z99),Gravidez como achado casual
Fatores que influenciam o estado de saúde e o contato com os serviços de saúde (Z00-Z99),Supervisão de gravidez normal
Fatores que influenciam o estado de saúde e o contato com os serviços de saúde (Z00-Z99),Supervisão de gravidez de alto risco
Fatores que influenciam o estado de saúde e o contato com os serviços de saúde (Z00-Z99),"Rastreamento (""screening"") pré-natal"
Fatores que influenciam o estado de saúde e o contato com os serviços de saúde (Z00-Z99),Resultado do parto
Fatores que influenciam o estado de saúde e o contato com os serviços de saúde (Z00-Z99),Nascidos vivos [nado-vivos] segundo o local de nascimento
Fatores que influenciam o estado de saúde e o contato com os serviços de saúde (Z00-Z99),Assistência e exame pós-natal
Fatores que influenciam o estado de saúde e o contato com os serviços de saúde (Z00-Z99),Cirurgia profilática
Fatores que influenciam o estado de saúde e o contato com os serviços de saúde (Z00-Z99),Procedimentos para outros propósitos exceto cuidados de saúde
Fatores que influenciam o estado de saúde e o contato com os serviços de saúde (Z00-Z99),Seguimento envolvendo cirurgia plástica
Fatores que influenciam o estado de saúde e o contato com os serviços de saúde (Z00-Z99),Atenção a orifícios artificiais
Fatores que influenciam o estado de saúde e o contato com os serviços de saúde (Z00-Z99),Colocação e ajustamento de aparelhos de prótese externa
Fatores que influenciam o estado de saúde e o contato com os serviços de saúde (Z00-Z99),Ajustamento e manuseio de dispositivo implantado
Fatores que influenciam o estado de saúde e o contato com os serviços de saúde (Z00-Z99),Colocação e ajustamento de outros aparelhos
Fatores que influenciam o estado de saúde e o contato com os serviços de saúde (Z00-Z99),Outros cuidados de seguimento ortopédico
Fatores que influenciam o estado de saúde e o contato com os serviços de saúde (Z00-Z99),Outro seguimento cirúrgico
Fatores que influenciam o estado de saúde e o contato com os serviços de saúde (Z00-Z99),Cuidados envolvendo diálise
Fatores que influenciam o estado de saúde e o contato com os serviços de saúde (Z00-Z99),Cuidados envolvendo o uso de procedimentos de reabilitação
Fatores que influenciam o estado de saúde e o contato com os serviços de saúde (Z00-Z99),Outros cuidados médicos
Fatores que influenciam o estado de saúde e o contato com os serviços de saúde (Z00-Z99),Doadores de órgãos e tecidos
Fatores que influenciam o estado de saúde e o contato com os serviços de saúde (Z00-Z99),Pessoas em contato com serviços de saúde para procedimentos específicos não realizados
Fatores que influenciam o estado de saúde e o contato com os serviços de saúde (Z00-Z99),Convalescença
Fatores que influenciam o estado de saúde e o contato com os serviços de saúde (Z00-Z99),Problemas relacionados com a educação e com a alfabetização
Fatores que influenciam o estado de saúde e o contato com os serviços de saúde (Z00-Z99),Problemas relacionados com o emprego e com o desemprego
Fatores que influenciam o estado de saúde e o contato com os serviços de saúde (Z00-Z99),Exposição ocupacional a fatores de risco
Fatores que influenciam o estado de saúde e o contato com os serviços de saúde (Z00-Z99),Problemas relacionados com o ambiente físico
Fatores que influenciam o estado de saúde e o contato com os serviços de saúde (Z00-Z99),Problemas relacionados com a habitação e com as condições econômicas
Fatores que influenciam o estado de saúde e o contato com os serviços de saúde (Z00-Z99),Problemas relacionados com o meio social
Fatores que influenciam o estado de saúde e o contato com os serviços de saúde (Z00-Z99),Problemas relacionados com eventos negativos de vida na infância
Fatores que influenciam o estado de saúde e o contato com os serviços de saúde (Z00-Z99),Outros problemas relacionados com a educação da criança
Fatores que influenciam o estado de saúde e o contato com os serviços de saúde (Z00-Z99),"Outros problemas relacionados com o grupo primário de apoio, inclusive com a situação familiar"
Fatores que influenciam o estado de saúde e o contato com os serviços de saúde (Z00-Z99),Problemas relacionados com algumas outras circunstâncias psicossociais
Fatores que influenciam o estado de saúde e o contato com os serviços de saúde (Z00-Z99),Problemas relacionados com outras circunstâncias psicossociais
Fatores que influenciam o estado de saúde e o contato com os serviços de saúde (Z00-Z99),"Aconselhamento relativo às atitudes, comportamento e orientação em matéria de sexualidade"
Fatores que influenciam o estado de saúde e o contato com os serviços de saúde (Z00-Z99),"Pessoas em contato com os serviços de saúde para outros aconselhamentos e conselho médico, não classificados em outra parte"
Fatores que influenciam o estado de saúde e o contato com os serviços de saúde (Z00-Z99),Problemas relacionados com o estilo de vida
Fatores que influenciam o estado de saúde e o contato com os serviços de saúde (Z00-Z99),Problemas relacionados com a organização de seu modo de vida
Fatores que influenciam o estado de saúde e o contato com os serviços de saúde (Z00-Z99),Problemas relacionados com a dependência de uma pessoa que oferece cuidados de saúde
Fatores que influenciam o estado de saúde e o contato com os serviços de saúde (Z00-Z99),Problemas relacionados com as facilidades médicas e outros cuidados de saúde
Fatores que influenciam o estado de saúde e o contato com os serviços de saúde (Z00-Z99),Pessoas em contato com os serviços de saúde em outras circunstâncias
Fatores que influenciam o estado de saúde e o contato com os serviços de saúde (Z00-Z99),História familiar de neoplasia maligna
Fatores que influenciam o estado de saúde e o contato com os serviços de saúde (Z00-Z99),História familiar de transtornos mentais e comportamentais
Fatores que influenciam o estado de saúde e o contato com os serviços de saúde (Z00-Z99),História familiar de algumas incapacidades e doenças crônicas que conduzem a incapacitação
Fatores que influenciam o estado de saúde e o contato com os serviços de saúde (Z00-Z99),História familiar de outros transtornos específicos
Fatores que influenciam o estado de saúde e o contato com os serviços de saúde (Z00-Z99),História familiar de outras afecções
Fatores que influenciam o estado de saúde e o contato com os serviços de saúde (Z00-Z99),História pessoal de neoplasia maligna
Fatores que influenciam o estado de saúde e o contato com os serviços de saúde (Z00-Z99),História pessoal de algumas outras doenças
Fatores que influenciam o estado de saúde e o contato com os serviços de saúde (Z00-Z99),História pessoal de outras doenças e afecções
Fatores que influenciam o estado de saúde e o contato com os serviços de saúde (Z00-Z99),"História pessoal de alergia a drogas, medicamentos e a substâncias biológicas"
Fatores que influenciam o estado de saúde e o contato com os serviços de saúde (Z00-Z99),Ausência adquirida de membros
Fatores que influenciam o estado de saúde e o contato com os serviços de saúde (Z00-Z99),Ausência adquirida de órgãos não classificados em outra parte
Fatores que influenciam o estado de saúde e o contato com os serviços de saúde (Z00-Z99),"História pessoal de fatores de risco, não classificados em outra parte"
Fatores que influenciam o estado de saúde e o contato com os serviços de saúde (Z00-Z99),História pessoal de tratamento médico
Fatores que influenciam o estado de saúde e o contato com os serviços de saúde (Z00-Z99),Orifícios artificiais
Fatores que influenciam o estado de saúde e o contato com os serviços de saúde (Z00-Z99),Órgãos e tecidos transplantados
Fatores que influenciam o estado de saúde e o contato com os serviços de saúde (Z00-Z99),Presença de implantes e enxertos cardíacos e vasculares
Fatores que influenciam o estado de saúde e o contato com os serviços de saúde (Z00-Z99),Presença de outros implantes funcionais
Fatores que influenciam o estado de saúde e o contato com os serviços de saúde (Z00-Z99),Presença de outros dispositivos protéticos
Fatores que influenciam o estado de saúde e o contato com os serviços de saúde (Z00-Z99),Outros estados pós-cirúrgicos
Fatores que influenciam o estado de saúde e o contato com os serviços de saúde (Z00-Z99),"Dependência de máquinas e dispositivos capacitantes, não classificados em outra parte"
"Neoplasias [tumores] malignas(os), declaradas ou presumidas como primárias, de localizações especificadas, exceto dos tecidos linfático, hematopoético e tecidos correlatos (C00-C75)",Neoplasia maligna do lábio
"Neoplasias [tumores] malignas(os), declaradas ou presumidas como primárias, de localizações especificadas, exceto dos tecidos linfático, hematopoético e tecidos correlatos (C00-C75)",Neoplasia maligna da base da língua
"Neoplasias [tumores] malignas(os), declaradas ou presumidas como primárias, de localizações especificadas, exceto dos tecidos linfático, hematopoético e tecidos correlatos (C00-C75)",Neoplasia maligna de outras partes e de partes não especificadas da língua
"Neoplasias [tumores] malignas(os), declaradas ou presumidas como primárias, de localizações especificadas, exceto dos tecidos linfático, hematopoético e tecidos correlatos (C00-C75)",Neoplasia maligna da gengiva
"Neoplasias [tumores] malignas(os), declaradas ou presumidas como primárias, de localizações especificadas, exceto dos tecidos linfático, hematopoético e tecidos correlatos (C00-C75)",Neoplasia maligna do assoalho da boca
"Neoplasias [tumores] malignas(os), declaradas ou presumidas como primárias, de localizações especificadas, exceto dos tecidos linfático, hematopoético e tecidos correlatos (C00-C75)",Neoplasia maligna do palato
"Neoplasias [tumores] malignas(os), declaradas ou presumidas como primárias, de localizações especificadas, exceto dos tecidos linfático, hematopoético e tecidos correlatos (C00-C75)",Neoplasia maligna de outras partes e de partes não especificadas da boca
"Neoplasias [tumores] malignas(os), declaradas ou presumidas como primárias, de localizações especificadas, exceto dos tecidos linfático, hematopoético e tecidos correlatos (C00-C75)",Neoplasia maligna da glândula parótida
"Neoplasias [tumores] malignas(os), declaradas ou presumidas como primárias, de localizações especificadas, exceto dos tecidos linfático, hematopoético e tecidos correlatos (C00-C75)",Neoplasia maligna de outras glândulas salivares maiores e as não especificadas
"Neoplasias [tumores] malignas(os), declaradas ou presumidas como primárias, de localizações especificadas, exceto dos tecidos linfático, hematopoético e tecidos correlatos (C00-C75)",Neoplasia maligna da amígdala
"Neoplasias [tumores] malignas(os), declaradas ou presumidas como primárias, de localizações especificadas, exceto dos tecidos linfático, hematopoético e tecidos correlatos (C00-C75)",Neoplasia maligna da orofaringe
"Neoplasias [tumores] malignas(os), declaradas ou presumidas como primárias, de localizações especificadas, exceto dos tecidos linfático, hematopoético e tecidos correlatos (C00-C75)",Neoplasia maligna da nasofaringe
"Neoplasias [tumores] malignas(os), declaradas ou presumidas como primárias, de localizações especificadas, exceto dos tecidos linfático, hematopoético e tecidos correlatos (C00-C75)",Neoplasia maligna do seio piriforme
"Neoplasias [tumores] malignas(os), declaradas ou presumidas como primárias, de localizações especificadas, exceto dos tecidos linfático, hematopoético e tecidos correlatos (C00-C75)",Neoplasia maligna da hipofaringe
"Neoplasias [tumores] malignas(os), declaradas ou presumidas como primárias, de localizações especificadas, exceto dos tecidos linfático, hematopoético e tecidos correlatos (C00-C75)","Neoplasia maligna de outras localizações e de localizações mal definida, do lábio, cavidade oral e faringe"
