Classe,DESCRICAO
Outras malformações congênitas do rim,Malformação congênita não especificada do rim
Outras malformações congênitas do aparelho urinário,Epispádias
Outras malformações congênitas do aparelho urinário,Extrofia vesical
Outras malformações congênitas do aparelho urinário,Válvulas uretrais posteriores congênitas
Outras malformações congênitas do aparelho urinário,Outras formas de atresia e de estenose de uretra e do colo da bexiga
Outras malformações congênitas do aparelho urinário,Malformação do úraco
Outras malformações congênitas do aparelho urinário,Ausência congênita da bexiga e da uretra
Outras malformações congênitas do aparelho urinário,Divertículo congênito da bexiga
Outras malformações congênitas do aparelho urinário,Outras malformações congênitas da bexiga e da uretra
Outras malformações congênitas do aparelho urinário,Outras malformações congênitas especificadas do aparelho urinário
Outras malformações congênitas do aparelho urinário,Malformação congênita não especificada do aparelho urinário
Malformações congênitas do quadril,Luxação congênita unilateral do quadril
Malformações congênitas do quadril,Luxação congênita bilateral do quadril
Malformações congênitas do quadril,Luxação congênita não especificada do quadril
Malformações congênitas do quadril,Subluxação congênita unilateral do quadril
Malformações congênitas do quadril,Subluxação congênita bilateral do quadril
Malformações congênitas do quadril,Subluxação congênita não especificada do quadril
Malformações congênitas do quadril,Quadril instável
Malformações congênitas do quadril,Outras deformidades congênitas do quadril
Malformações congênitas do quadril,Deformidade congênita não especificada do quadril
Deformidades congênitas do pé,Pé torto eqüinovaro
Deformidades congênitas do pé,Pé torto calcaneovaro
Deformidades congênitas do pé,Metatarso varo
Deformidades congênitas do pé,Outras deformidades congênitas dos pés em varo
Deformidades congênitas do pé,Pé torto calcaneovalgo
Deformidades congênitas do pé,Pé chato congênito
Deformidades congênitas do pé,Outras deformidades congênitas dos pés em valgo
Deformidades congênitas do pé,Pé cavo
Deformidades congênitas do pé,Outras deformidades congênitas do pé
Deformidades congênitas do pé,Deformidade congênita não especificada do pé
"Deformidades osteomusculares congênitas da cabeça, da face, da coluna e do tórax",Assimetria facial
"Deformidades osteomusculares congênitas da cabeça, da face, da coluna e do tórax",Deformidade facial por compressão
"Deformidades osteomusculares congênitas da cabeça, da face, da coluna e do tórax",Dolicocefalia
"Deformidades osteomusculares congênitas da cabeça, da face, da coluna e do tórax",Plagiocefalia
"Deformidades osteomusculares congênitas da cabeça, da face, da coluna e do tórax","Outras deformidades congênitas do crânio, da face e da mandíbula"
"Deformidades osteomusculares congênitas da cabeça, da face, da coluna e do tórax",Deformidades congênitas da coluna vertebral
"Deformidades osteomusculares congênitas da cabeça, da face, da coluna e do tórax",Tórax escavado
"Deformidades osteomusculares congênitas da cabeça, da face, da coluna e do tórax",Tórax carinado
"Deformidades osteomusculares congênitas da cabeça, da face, da coluna e do tórax",Outras deformidades congênitas do tórax
Outras deformidades osteomusculares congênitas,Deformidade congênita do músculo esternocleidomastoideu
Outras deformidades osteomusculares congênitas,Deformidade congênita da mão
Outras deformidades osteomusculares congênitas,Deformidade congênita do joelho
Outras deformidades osteomusculares congênitas,Encurvamento congênito do fêmur
Outras deformidades osteomusculares congênitas,Encurvamento congênito da tíbia e da perônio [fíbula]
Outras deformidades osteomusculares congênitas,Encurvamento congênito de ossos longos não especificados do membro inferior
Outras deformidades osteomusculares congênitas,Outras deformidades osteomusculares congênitas
Polidactilia,Dedo(s) da mão supranumerário(s)
Polidactilia,Polegar(es) supranumerário(s)
Polidactilia,Artelho(s) supranumerário(s)
Polidactilia,Polidactilia não especificada
Sindactilia,Coalescência dos dedos (dedos da mão fundidos)
Sindactilia,Dedos palmados
Sindactilia,Coalescência dos artelhos (artelhos fundidos)
Sindactilia,Artelhos palmados
Sindactilia,Polissindactilia
Sindactilia,Sindactilia não especificada
"Defeitos, por redução, do membro superior",Ausência congênita completa do(s) membro(s) superior(es)
"Defeitos, por redução, do membro superior","Ausência congênita do braço e do antebraço, com mão presente"
"Defeitos, por redução, do membro superior",Ausência congênita do antebraço e da mão
"Defeitos, por redução, do membro superior",Ausência congênita da mão e de dedo(s)
"Defeitos, por redução, do membro superior",Defeito de redução longitudinal do rádio
"Defeitos, por redução, do membro superior",Defeito de redução longitudinal do cúbito [ulna]
"Defeitos, por redução, do membro superior",Mão em garra de lagosta
"Defeitos, por redução, do membro superior",Outros defeitos de redução do membro superior
"Defeitos, por redução, do membro superior","Defeito por redução do membro superior, não especificado"
"Defeitos, por redução, do membro inferior",Ausência congênita completa do(s) membro(s) inferior(es)
"Defeitos, por redução, do membro inferior",Ausência congênita da coxa e da perna com pé presente
"Defeitos, por redução, do membro inferior",Ausência congênita da perna e do pé
"Defeitos, por redução, do membro inferior",Ausência congênita do pé e de artelho(s)
"Defeitos, por redução, do membro inferior",Defeito por redução longitudinal da tíbia
"Defeitos, por redução, do membro inferior",Defeito por redução longitudinal da tíbia
"Defeitos, por redução, do membro inferior",Defeito por redução longitudinal do perônio [fíbula]
"Defeitos, por redução, do membro inferior",Pé bífido
"Defeitos, por redução, do membro inferior",Outros defeitos por redução do(s) membro(s) inferior(es)
"Defeitos, por redução, do membro inferior",Defeito não especificado por redução do membro inferior
Defeitos por redução de membro não especificado,Ausência congênita de membro(s) não especificado(s)
Defeitos por redução de membro não especificado,"Focomelia, membro(s) não especificado(s)"
Defeitos por redução de membro não especificado,Outros defeitos por redução de membro(s) não especificado(s)
Outras malformações congênitas dos membros,"Outras malformações congênitas do(s) membro(s) superiores, inclusive da cintura escapular"
Outras malformações congênitas dos membros,Malformação congênita do joelho
Outras malformações congênitas dos membros,"Outras malformações congênitas do(s) membro(s) inferiores, inclusive da cintura pélvica"
Outras malformações congênitas dos membros,Artrogripose congênita múltipla
Outras malformações congênitas dos membros,Outras malformações congênitas especificadas de membro(s)
Outras malformações congênitas dos membros,Malformações congênitas não especificadas de membro(s)
Outras malformações congênitas dos ossos do crânio e da face,Craniossinostose
Outras malformações congênitas dos ossos do crânio e da face,Disostose craniofacial
Outras malformações congênitas dos ossos do crânio e da face,Hipertelorismo
Outras malformações congênitas dos ossos do crânio e da face,Macrocefalia
Outras malformações congênitas dos ossos do crânio e da face,Disostose mandíbulo-facial
Outras malformações congênitas dos ossos do crânio e da face,Disostose óculo-mandibular
Outras malformações congênitas dos ossos do crânio e da face,Outras malformações congênitas especificadas dos ossos do crânio e da face
Outras malformações congênitas dos ossos do crânio e da face,Malformação congênita não especificada dos ossos do crânio e da face
Malformações congênitas da coluna vertebral e dos ossos do tórax,Espinha bífida oculta
Malformações congênitas da coluna vertebral e dos ossos do tórax,Síndrome de Klippel-Feil
Malformações congênitas da coluna vertebral e dos ossos do tórax,Espondilolistese congênita
Malformações congênitas da coluna vertebral e dos ossos do tórax,Escoliose congênita devida à malformação óssea congênita
Malformações congênitas da coluna vertebral e dos ossos do tórax,Outras malformações congênitas da coluna vertebral não-associadas com escoliose
Malformações congênitas da coluna vertebral e dos ossos do tórax,Costela cervical
Malformações congênitas da coluna vertebral e dos ossos do tórax,Outras malformações congênitas das costelas
Malformações congênitas da coluna vertebral e dos ossos do tórax,Malformação congênita do esterno
Malformações congênitas da coluna vertebral e dos ossos do tórax,Outras malformações congênitas dos ossos do tórax
Malformações congênitas da coluna vertebral e dos ossos do tórax,Malformação congênita não especificada dos ossos do tórax
Osteocondrodisplasia com anomalias de crescimento dos ossos longos e da coluna vertebral,Acondrogenesia
Osteocondrodisplasia com anomalias de crescimento dos ossos longos e da coluna vertebral,Nanismo tanatofórico
Osteocondrodisplasia com anomalias de crescimento dos ossos longos e da coluna vertebral,Síndrome das costelas curtas
Osteocondrodisplasia com anomalias de crescimento dos ossos longos e da coluna vertebral,Condrodisplasia puntacta
Osteocondrodisplasia com anomalias de crescimento dos ossos longos e da coluna vertebral,Acondroplasia
Osteocondrodisplasia com anomalias de crescimento dos ossos longos e da coluna vertebral,Displasia diastrófica
Osteocondrodisplasia com anomalias de crescimento dos ossos longos e da coluna vertebral,Displasia condroectodérmica
Osteocondrodisplasia com anomalias de crescimento dos ossos longos e da coluna vertebral,Displasia espondiloepifisária
Osteocondrodisplasia com anomalias de crescimento dos ossos longos e da coluna vertebral,Outras osteocondrodisplasias com anomalias do crescimento dos ossos longos e da coluna vertebral
Osteocondrodisplasia com anomalias de crescimento dos ossos longos e da coluna vertebral,Osteocondrodisplasia não especificada com anomalias do crescimento dos ossos longos e da coluna vertebral
Outras osteocondrodisplasias,Osteogênese imperfeita
Outras osteocondrodisplasias,Displasia poliostótica fibrosa
Outras osteocondrodisplasias,Osteopetrose
Outras osteocondrodisplasias,Displasia diafisária progressiva
Outras osteocondrodisplasias,Encondromatose
Outras osteocondrodisplasias,Displasia metafisária
Outras osteocondrodisplasias,Exostoses congênitas múltiplas
Outras osteocondrodisplasias,Outras osteocondrodisplasias especificadas
Outras osteocondrodisplasias,Osteocondrodisplasia não especificada
Malformações congênitas do sistema osteomuscular não classificadas em outra parte,Hérnia diafragmática congênita
Malformações congênitas do sistema osteomuscular não classificadas em outra parte,Outras malformações congênitas do diafragma
Malformações congênitas do sistema osteomuscular não classificadas em outra parte,Exonfalia
Malformações congênitas do sistema osteomuscular não classificadas em outra parte,Gastrosquise
Malformações congênitas do sistema osteomuscular não classificadas em outra parte,"Síndrome do abdome em ameixa seca (""prune belly syndrome"")"
Malformações congênitas do sistema osteomuscular não classificadas em outra parte,Outras malformações congênitas da parede abdominal
Malformações congênitas do sistema osteomuscular não classificadas em outra parte,Síndrome de Ehlers-Danlos
Malformações congênitas do sistema osteomuscular não classificadas em outra parte,Outras malformações congênitas do sistema osteomuscular
Malformações congênitas do sistema osteomuscular não classificadas em outra parte,Malformação congênita não especificada do sistema osteomuscular
Ictiose congênita,Ictiose vulgar
Ictiose congênita,Ictiose ligada ao cromossomo X
Ictiose congênita,Ictiose lamelar
Ictiose congênita,Eritrodermia ictiosiforme bulhosa congênita
Ictiose congênita,Feto arlequim
Ictiose congênita,Outras ictioses congênitas
Ictiose congênita,Ictiose congênita não especificada
Epidermólise bolhosa,Epidermólise bolhosa simples
Epidermólise bolhosa,Epidermólise bolhosa letal
Epidermólise bolhosa,Epidermólise bolhosa distrófica
Epidermólise bolhosa,Outras epidermólises bolhosas
Epidermólise bolhosa,Epidermólise bolhosa não especificada
Outras malformações congênitas da pele,Linfedema hereditário
Outras malformações congênitas da pele,Xeroderma pigmentoso
Outras malformações congênitas da pele,Mastocitose
Outras malformações congênitas da pele,Incontinentia pigmenti
Outras malformações congênitas da pele,Displasia ectodérmica (anidrótica)
Outras malformações congênitas da pele,Nevo não-neoplásico congênito
Outras malformações congênitas da pele,Outras malformações congênitas especificadas da pele
Outras malformações congênitas da pele,Malformação congênita não especificada da pele
Malformações congênitas da mama,Ausência congênita da mama com ausência do mamilo
Malformações congênitas da mama,Mama supranumerária
Malformações congênitas da mama,Ausência de mamilo
Malformações congênitas da mama,Mamilo acessório
Malformações congênitas da mama,Outras malformações congênitas da mama
Malformações congênitas da mama,Malformação congênita não especificada da mama
Outras malformações congênitas do tegumento,Alopécia congênita
Outras malformações congênitas do tegumento,Alterações morfológicas congênitas dos cabelos não classificadas em outra parte
Outras malformações congênitas do tegumento,Outras malformações congênitas dos cabelos
Outras malformações congênitas do tegumento,Anoníquia
Outras malformações congênitas do tegumento,Leuconíquia congênita
Outras malformações congênitas do tegumento,Hipertrofia e alargamento das unhas
Outras malformações congênitas do tegumento,Outras malformações congênitas das unhas
Outras malformações congênitas do tegumento,Outras malformações congênitas especificadas do tegumento
Outras malformações congênitas do tegumento,Malformação congênita não especificada do tegumento
Facomatoses não classificadas em outra parte,Neurofibromatose (não-maligna)
Facomatoses não classificadas em outra parte,Esclerose tuberosa
Facomatoses não classificadas em outra parte,Outras facomatoses não classificadas em outra parte
Facomatoses não classificadas em outra parte,Facomatose não especificada
"Síndromes com malformações congênitas devidas a causas exógenas conhecidas, não classificadas em outra parte",Síndrome fetal alcoólico (dismórfico)
"Síndromes com malformações congênitas devidas a causas exógenas conhecidas, não classificadas em outra parte",Síndrome fetal devida à hidantoína
"Síndromes com malformações congênitas devidas a causas exógenas conhecidas, não classificadas em outra parte",Dismorfismo devido ao Warfarin
"Síndromes com malformações congênitas devidas a causas exógenas conhecidas, não classificadas em outra parte",Outras síndromes com malformações congênitas devidas a causas exógenas conhecidas
Outras síndromes com malformações congênitas que acometem múltiplos sistemas,Síndromes com malformações congênitas afetando predominantemente o aspecto da face
Outras síndromes com malformações congênitas que acometem múltiplos sistemas,Síndromes com malformações congênitas associadas predominantemente com nanismo
Outras síndromes com malformações congênitas que acometem múltiplos sistemas,Síndromes com malformações congênitas afetando predominantemente os membros
Outras síndromes com malformações congênitas que acometem múltiplos sistemas,Síndromes com malformações congênitas com hipercrescimento precoce
Outras síndromes com malformações congênitas que acometem múltiplos sistemas,Síndrome de Marfan
Outras síndromes com malformações congênitas que acometem múltiplos sistemas,Outras síndromes com malformações congênitas com outras alterações do esqueleto
Outras síndromes com malformações congênitas que acometem múltiplos sistemas,"Outras síndromes com malformações congênitas especificadas, não classificadas em outra parte"
Outras malformações congênitas não classificadas em outra parte,Malformações congênitas do baço
Outras malformações congênitas não classificadas em outra parte,Malformações congênitas das supra-renais
Outras malformações congênitas não classificadas em outra parte,Malformações congênitas de outras glândulas endócrinas
Outras malformações congênitas não classificadas em outra parte,Situs inversus
Outras malformações congênitas não classificadas em outra parte,Reunião de gêmeos
Outras malformações congênitas não classificadas em outra parte,"Malformações congênitas múltiplas, não classificadas em outra parte"
Outras malformações congênitas não classificadas em outra parte,Outras malformações congênitas especificadas
Outras malformações congênitas não classificadas em outra parte,Malformações congênitas não especificadas
Síndrome de Down,"Trissomia 21, não-disjunção meiótica"
Síndrome de Down,"Trissomia 21, mosaicismo (não-disjunção mitótica)"
Síndrome de Down,"Trissomia 21, translocação"
Síndrome de Down,Síndrome de Down não especificada
Síndrome de Edwards e síndrome de Patau,"Trissomia 18, não-disjunção meiótica"
Síndrome de Edwards e síndrome de Patau,"Trissomia 18, mosaicismo cromossômico (não-disjunção mitótica)"
Síndrome de Edwards e síndrome de Patau,"Trissomia 18, translocação"
Síndrome de Edwards e síndrome de Patau,Síndrome de Edwards não especificada
Síndrome de Edwards e síndrome de Patau,"Trissomia 13, não-disjunção meiótica"
Síndrome de Edwards e síndrome de Patau,"Trissomia 13, mosaicismo cromossômico (não-disjunção mitótica)"
Síndrome de Edwards e síndrome de Patau,"Trissomia 13, translocação"
Síndrome de Edwards e síndrome de Patau,Síndrome de Patau não especificada
"Outras trissomias e trissomias parciais dos autossomos, não classificadas em outra parte","Trissomia de um cromossomo inteiro, não-disjunção meiótica"
"Outras trissomias e trissomias parciais dos autossomos, não classificadas em outra parte","Trissomia de um cromossomo inteiro, mosaicismo cromossômico (não-disjunção mitótica)"
"Outras trissomias e trissomias parciais dos autossomos, não classificadas em outra parte",Trissomia parcial major
"Outras trissomias e trissomias parciais dos autossomos, não classificadas em outra parte",Trissomia parcial minor
"Outras trissomias e trissomias parciais dos autossomos, não classificadas em outra parte",Duplicações vistas somente na prometáfase
"Outras trissomias e trissomias parciais dos autossomos, não classificadas em outra parte",Duplicação com outros rearranjos complexos
"Outras trissomias e trissomias parciais dos autossomos, não classificadas em outra parte",Cromossomos marcadores suplementares
"Outras trissomias e trissomias parciais dos autossomos, não classificadas em outra parte",Triploidia e poliploidia
"Outras trissomias e trissomias parciais dos autossomos, não classificadas em outra parte",Outras trissomias especificadas e trissomias parciais dos autossomos
"Outras trissomias e trissomias parciais dos autossomos, não classificadas em outra parte",Trissomia e trissomia parcial não especificada dos autossomos
"Monossomias e deleções dos autossomos, não classificadas em outra parte","Monossomia de cromossomo inteiro, não-disjunção meiótica"
"Monossomias e deleções dos autossomos, não classificadas em outra parte","Monossomia de cromossomo inteiro, mosaicismo cromossômico (não-disjunção mitótica)"
"Monossomias e deleções dos autossomos, não classificadas em outra parte",Cromossomo substituído por anel ou dicêntrico
"Monossomias e deleções dos autossomos, não classificadas em outra parte",Deleção do braço curto do cromossomo 4
"Monossomias e deleções dos autossomos, não classificadas em outra parte",Deleção do braço curto do cromossomo 5
"Monossomias e deleções dos autossomos, não classificadas em outra parte",Outras deleções parciais de cromossomo
"Monossomias e deleções dos autossomos, não classificadas em outra parte",Deleções vistas somente na prometáfase
"Monossomias e deleções dos autossomos, não classificadas em outra parte",Deleções com outros rearranjos complexos
"Monossomias e deleções dos autossomos, não classificadas em outra parte",Outras deleções dos autossomos
"Monossomias e deleções dos autossomos, não classificadas em outra parte",Deleções não especificadas dos autossomos
"Rearranjos equilibrados e marcadores estruturais, não classificados em outra parte",Translocação ou inserção equilibrada em sujeito normal
"Rearranjos equilibrados e marcadores estruturais, não classificados em outra parte",Inversão cromossômica em sujeito normal
"Rearranjos equilibrados e marcadores estruturais, não classificados em outra parte",Rearranjo autossômico equilibrado em sujeito anormal
"Rearranjos equilibrados e marcadores estruturais, não classificados em outra parte",Rearranjo sexual/autossômico equilibrado em sujeito anormal
"Rearranjos equilibrados e marcadores estruturais, não classificados em outra parte",Sujeito com marcador de heterocromatina
"Rearranjos equilibrados e marcadores estruturais, não classificados em outra parte",Sujeito com sítio autossômico frágil
"Rearranjos equilibrados e marcadores estruturais, não classificados em outra parte",Outros rearranjos e marcadores equilibrados
"Rearranjos equilibrados e marcadores estruturais, não classificados em outra parte",Rearranjos e marcadores equilibrados não especificados
Síndrome de Turner,"Cariótipo 45, X"
Síndrome de Turner,"Cariótipo 46, X iso (Xq)"
Síndrome de Turner,"Cariótipo 46, X com cromossomo sexual anormal, salvo iso (Xq)"
Síndrome de Turner,"Mosaicismo cromossômico, 45, X/46, XX ou XY"
Síndrome de Turner,"Mosaicismo cromossômico, 45, X/outra(s) linhagens celular(es) com cromossomo sexual anormal"
Síndrome de Turner,Outras variantes da síndrome de Turner
Síndrome de Turner,Síndrome de Turner não especificada
"Outras anomalias dos cromossomos sexuais, fenótipo feminino, não classificadas em outra parte","Cariótipo 47, XXX"
"Outras anomalias dos cromossomos sexuais, fenótipo feminino, não classificadas em outra parte",Mulher com mais de três cromossomos X
"Outras anomalias dos cromossomos sexuais, fenótipo feminino, não classificadas em outra parte","Mosaicismo cromossômico, linhagens com diversos números de cromossomos X"
"Outras anomalias dos cromossomos sexuais, fenótipo feminino, não classificadas em outra parte","Mulher com cariótipo 46, XY"
"Outras anomalias dos cromossomos sexuais, fenótipo feminino, não classificadas em outra parte","Outras anomalias especificadas dos cromossomos sexuais, fenótipo feminino"
"Outras anomalias dos cromossomos sexuais, fenótipo feminino, não classificadas em outra parte","Anomalias não especificadas dos cromossomos sexuais, fenótipo feminino"
"Outras anomalias dos cromossomos sexuais, fenótipo masculino, não classificadas em outra parte","Síndrome de Klinefelter, cariótipo 47, XXY"
"Outras anomalias dos cromossomos sexuais, fenótipo masculino, não classificadas em outra parte","Síndrome de Klinefelter, homem com mais de dois cromossomos X"
"Outras anomalias dos cromossomos sexuais, fenótipo masculino, não classificadas em outra parte","Síndrome de Klinefelter, homem com cariótipo 46, XX"
"Outras anomalias dos cromossomos sexuais, fenótipo masculino, não classificadas em outra parte","Outro homem com cariótipo 46, XX"
"Outras anomalias dos cromossomos sexuais, fenótipo masculino, não classificadas em outra parte",Síndrome de Klinefelter não especificada
"Outras anomalias dos cromossomos sexuais, fenótipo masculino, não classificadas em outra parte","Cariótipo 47, XYY"
"Outras anomalias dos cromossomos sexuais, fenótipo masculino, não classificadas em outra parte",Homem com cromossomos sexuais de estrutura anormal
"Outras anomalias dos cromossomos sexuais, fenótipo masculino, não classificadas em outra parte",Homem com mosaicismo dos cromossomos sexuais
"Outras anomalias dos cromossomos sexuais, fenótipo masculino, não classificadas em outra parte","Outras anomalias especificadas dos cromossomos sexuais, fenótipo masculino"
"Outras anomalias dos cromossomos sexuais, fenótipo masculino, não classificadas em outra parte","Anomalias não especificadas dos cromossomos sexuais, fenótipo masculino"
"Outras anomalias dos cromossomos, não classificadas em outra parte","Quimera 46, XX/46, XY"
"Outras anomalias dos cromossomos, não classificadas em outra parte","Hermafrodite verdadeiro 46, XX"
"Outras anomalias dos cromossomos, não classificadas em outra parte",Cromossomo X frágil
"Outras anomalias dos cromossomos, não classificadas em outra parte",Outras anomalias cromossômicas especificadas
"Outras anomalias dos cromossomos, não classificadas em outra parte",Anomalia cromossômica não especificada
Anormalidades do batimento cardíaco,Taquicardia não especificada
Anormalidades do batimento cardíaco,Bradicardia não especificada
Anormalidades do batimento cardíaco,Palpitações
Anormalidades do batimento cardíaco,Outras anormalidades e as não especificadas do batimento cardíaco
Sopros e outros ruídos cardíacos,Sopros cardíacos benignos ou inocentes
Sopros e outros ruídos cardíacos,"Sopro cardíaco, não especificado"
Sopros e outros ruídos cardíacos,Outros ruídos cardíacos
Gangrena não classificada em outra parte,Gangrena não classificada em outra parte
Valor anormal da pressão arterial sem diagnóstico,Valor elevado da pressão arterial sem o diagnóstico de hipertensão
Valor anormal da pressão arterial sem diagnóstico,Valor baixo da pressão arterial não específico
Hemorragia das vias respiratórias,Epistaxis
Hemorragia das vias respiratórias,Hemorragia da garganta
Hemorragia das vias respiratórias,Hemoptise
Hemorragia das vias respiratórias,Hemorragia de outras localizações das vias respiratórias
Hemorragia das vias respiratórias,Hemorragia não especificada das vias respiratórias
Tosse,Tosse
Anormalidades da respiração,Dispnéia
Anormalidades da respiração,Estridor
Anormalidades da respiração,Respiração ofegante
Anormalidades da respiração,Respiração periódica
Anormalidades da respiração,Hiperventilação
Anormalidades da respiração,Respiração pela boca
Anormalidades da respiração,Soluço
Anormalidades da respiração,Espirro
Anormalidades da respiração,Outras anormalidades e as não especificadas da respiração
Dor de garganta e no peito,Dor de garganta
Dor de garganta e no peito,Dor torácica ao respirar
Dor de garganta e no peito,Dor precordial
Dor de garganta e no peito,Outra dor torácica
Dor de garganta e no peito,"Dor torácica, não especificada"
Outros sintomas e sinais relativos aos aparelhos circulatório e respiratório,Asfixia
Outros sintomas e sinais relativos aos aparelhos circulatório e respiratório,Pleurisia
Outros sintomas e sinais relativos aos aparelhos circulatório e respiratório,Parada respiratória
Outros sintomas e sinais relativos aos aparelhos circulatório e respiratório,Escarro anormal
Outros sintomas e sinais relativos aos aparelhos circulatório e respiratório,Outros sintomas e sinais especificados relativos aos aparelhos circulatório e respiratório
Dor abdominal e pélvica,Abdome agudo
Dor abdominal e pélvica,Dor localizada no abdome superior
Dor abdominal e pélvica,Dor pélvica e perineal
Dor abdominal e pélvica,Dor localizada em outras partes do abdome inferior
Dor abdominal e pélvica,Outras dores abdominais e as não especificadas
Náusea e vômitos,Náusea e vômitos
Pirose,Pirose
Disfagia,Disfagia
Flatulência e afecções correlatas,Flatulência e afecções correlatas
Incontinência fecal,Incontinência fecal
Hepatomegalia e esplenomegalia não classificadas em outra parte,Hepatomegalia não classificada em outra parte
Hepatomegalia e esplenomegalia não classificadas em outra parte,Esplenomegalia não classificada em outra parte
Hepatomegalia e esplenomegalia não classificadas em outra parte,Hepatomegalia com esplenomegalia não classificada em outra parte
Icterícia não especificada,Icterícia não especificada
Ascite,Ascite
Outros sintomas e sinais relativos ao aparelho digestivo e ao abdome,"Massa, tumoração ou tumefação intra-abdominal e pélvica"
Outros sintomas e sinais relativos ao aparelho digestivo e ao abdome,Ruídos hidroaéreos anormais
Outros sintomas e sinais relativos ao aparelho digestivo e ao abdome,Peristaltismo visível
Outros sintomas e sinais relativos ao aparelho digestivo e ao abdome,Rigidez abdominal
Outros sintomas e sinais relativos ao aparelho digestivo e ao abdome,Alteração do hábito intestinal
Outros sintomas e sinais relativos ao aparelho digestivo e ao abdome,Outras anormalidades fecais
Outros sintomas e sinais relativos ao aparelho digestivo e ao abdome,Halitose
Outros sintomas e sinais relativos ao aparelho digestivo e ao abdome,Outros sintomas e sinais especificados relativos ao aparelho digestivo e ao abdome
Distúrbios da sensibilidade cutânea,Anestesia cutânea
Distúrbios da sensibilidade cutânea,Hipoestesia cutânea
Distúrbios da sensibilidade cutânea,Parestesias cutâneas
Distúrbios da sensibilidade cutânea,Hiperestesia
Distúrbios da sensibilidade cutânea,Outros distúrbios e os não especificadas da sensibilidade cutânea
Eritema e outras erupções cutâneas não especificadas,Eritema e outras erupções cutâneas não especificadas
"Tumefação, massa ou tumoração localizadas da pele e do tecido subcutâneo","Tumefação, massa ou tumoração localizadas da cabeça"
"Tumefação, massa ou tumoração localizadas da pele e do tecido subcutâneo","Tumefação, massa ou tumoração localizadas do pescoço"
"Tumefação, massa ou tumoração localizadas da pele e do tecido subcutâneo","Tumefação, massa ou tumoração localizadas do tronco"
"Tumefação, massa ou tumoração localizadas da pele e do tecido subcutâneo","Tumefação, massa ou tumoração localizadas de membro superior"
"Tumefação, massa ou tumoração localizadas da pele e do tecido subcutâneo","Tumefação, massa ou tumoração localizadas no membro inferior"
"Tumefação, massa ou tumoração localizadas da pele e do tecido subcutâneo","Tumefação, massa ou tumoração localizadas de múltiplas localizações"
"Tumefação, massa ou tumoração localizadas da pele e do tecido subcutâneo","Tumefação, massa ou tumoração não especificadas, localizadas"
Outras alterações cutâneas,Cianose
Outras alterações cutâneas,Palidez
Outras alterações cutâneas,Rubor
Outras alterações cutâneas,Equimoses espontâneas
Outras alterações cutâneas,Alterações na textura da pele
Outras alterações cutâneas,Outras alterações da pele e as não especificadas
Movimentos involuntários anormais,Movimentos anormais da cabeça
Movimentos involuntários anormais,Tremor não especificado
Movimentos involuntários anormais,Cãibras e espasmos
Movimentos involuntários anormais,Fasciculação
Movimentos involuntários anormais,Outros movimentos involuntários anormais e os não especificados
Anormalidades da marcha e da mobilidade,Marcha atáxica
Anormalidades da marcha e da mobilidade,Marcha paralítica
Anormalidades da marcha e da mobilidade,Dificuldade para andar não classificada em outra parte
Anormalidades da marcha e da mobilidade,Outras anormalidades da marcha e da mobilidade e as não especificadas
Outros distúrbios da coordenação,Ataxia não especificada
Outros distúrbios da coordenação,Outros distúrbios da coordenação e os não especificados
Outros sintomas e sinais relativos aos sistemas nervoso e osteomuscular,Tetania
Outros sintomas e sinais relativos aos sistemas nervoso e osteomuscular,Meningismo
Outros sintomas e sinais relativos aos sistemas nervoso e osteomuscular,Reflexos anormais
Outros sintomas e sinais relativos aos sistemas nervoso e osteomuscular,Postura anormal
Outros sintomas e sinais relativos aos sistemas nervoso e osteomuscular,Quadril estalante
Outros sintomas e sinais relativos aos sistemas nervoso e osteomuscular,"Tendência a queda, não classificada em outra parte"
Outros sintomas e sinais relativos aos sistemas nervoso e osteomuscular,Outros sintomas e sinais relativos aos sistemas nervoso e osteomuscular e os não especificados
Dor associada à micção,Disúria
Dor associada à micção,Tenesmo vesical
Dor associada à micção,"Micção dolorosa, não especificada"
Hematúria não especificada,Hematúria não especificada
Incontinência urinária não especificada,Incontinência urinária não especificada
Retenção urinária,Retenção urinária
Anúria e oligúria,Anúria e oligúria
Poliúria,Poliúria
Secreção uretral,Secreção uretral
Outros sintomas e sinais relativos ao aparelho urinário,Extravasamento de urina
Outros sintomas e sinais relativos ao aparelho urinário,Outras dificuldades à micção
Outros sintomas e sinais relativos ao aparelho urinário,Uremia extra-renal
Outros sintomas e sinais relativos ao aparelho urinário,Outros sintomas e sinais relativos ao aparelho urinário e os não especificados
"Sonolência, estupor e coma",Sonolência
"Sonolência, estupor e coma",Estupor
"Sonolência, estupor e coma",Coma não especificado
Outros sintomas e sinais relativos à função cognitiva e à consciência,Desorientação não especificada
Outros sintomas e sinais relativos à função cognitiva e à consciência,Amnésia anterógrada
Outros sintomas e sinais relativos à função cognitiva e à consciência,Amnésia retrógrada
Outros sintomas e sinais relativos à função cognitiva e à consciência,Outra amnésia
Outros sintomas e sinais relativos à função cognitiva e à consciência,Outros sintomas e sinais especificados relativos às funções cognitivas e à consciência
Tontura e instabilidade,Tontura e instabilidade
Distúrbios do olfato e do paladar,Anosmia
Distúrbios do olfato e do paladar,Parosmia
Distúrbios do olfato e do paladar,Parageusia
