Grupo,Sintomas (termos)
Sangramento,sensação de enjoo
Sangramento,"tontura, suor frio"
Sangramento,"Urina, Sangue na (hematúria)"
Sintomas infantis,A icterícia (hiperbilirrubinemia) em recém-nascidos
Sintomas infantis,Choro
Sintomas infantis,Tosse em crianças
Torácicos e respiratórios,Irritação dos olhos
Torácicos e respiratórios,Dor torácica
Torácicos e respiratórios,apneia
Torácicos e respiratórios,bradipneia
Torácicos e respiratórios,Chiado
Torácicos e respiratórios,Coceira no nariz
Torácicos e respiratórios,Coceira no olho
Torácicos e respiratórios,Coriza
Torácicos e respiratórios,Dor na mama
Torácicos e respiratórios,Dor nos membros
Torácicos e respiratórios,Espirros
Torácicos e respiratórios,Estridor
Torácicos e respiratórios,hipoventilação
Torácicos e respiratórios,pleurisia
Torácicos e respiratórios,Pressão ou dor facial
Torácicos e respiratórios,Respiração rápida.
Torácicos e respiratórios,Sibilos
Torácicos e respiratórios,sputum production (R09.3)
Torácicos e respiratórios,Tosse em adultos
Torácicos e respiratórios,Tosse seca
Torácicos e respiratórios,Tosse úmida com muco (secreção)
Torácicos e respiratórios,Tosse
Sub GRUPO 5,[9] ID
Sub GRUPO 7,[9] IC
Sub GRUPO 2,[9] IB
Sub GRUPO 1,[9] IA
Sub GRUPO 1,[9] IA
Sub GRUPO 1,[9] IA
Sub GRUPO 12,[8] IIIA
Sub GRUPO 13,[8] IIIA
Sub GRUPO 9,[8] IID
Sub GRUPO 5,[8] ID
Sub GRUPO 7,[8] ID
Sub GRUPO 2,[8] IB
Sub GRUPO 3,[8] IB
Sub GRUPO 1,[8] IA
Sub GRUPO 1,[8] IA
Sub GRUPO 1,[8] IA
Sub GRUPO 1,[8] IA
Sub GRUPO A,[8] IA
Sub GRUPO H,[8] IA
Sub GRUPO 12,[7] IIIA
Sub GRUPO 13,[7] IIIA
Sub GRUPO 13,[7] IIIA
Sub GRUPO 9,[7] IID
Sub GRUPO 5,[7] ID
Sub GRUPO 11,[7] ID
Sub GRUPO 6,[7] IC
Sub GRUPO 2,[7] IB
Sub GRUPO 2,[7] IB
Sub GRUPO 3,[7] IB
Sub GRUPO 1,[7] IA
Sub GRUPO 1,[7] IA
Sub GRUPO 1,[7] IA
Sub GRUPO 1,[7] IA
Sub GRUPO 1,[7] IA
Sub GRUPO 7,[7] IA
Sub GRUPO A,[7] IA
Sub GRUPO H,[7] IA
Sub GRUPO 13,[6] IIIA
Sub GRUPO 13,[6] IIIA
Sub GRUPO 9,[6] IID
Sub GRUPO 10,[6] IID
Sub GRUPO 5,[6] ID
Sub GRUPO 11,[6] ID
Sub GRUPO 13,[6] ID
Sub GRUPO G,[6] ID
Sub GRUPO 6,[6] IC
Sub GRUPO 6,[6] IC
Sub GRUPO H,[6] IC
Sub GRUPO 2,[6] IB
Sub GRUPO 3,[6] IB
Sub GRUPO 3,[6] IB
Sub GRUPO 12,[6] IB
Sub GRUPO 1,[6] IA
Sub GRUPO 1,[6] IA
Sub GRUPO 1,[6] IA
Sub GRUPO 1,[6] IA
Sub GRUPO 1,[6] IA
Sub GRUPO 1,[6] IA
Sub GRUPO 2,[6] IA
Sub GRUPO 7,[6] IA
Sub GRUPO A,[6] IA
Sub GRUPO A,[6] IA
Sub GRUPO 13,[5] IIIA
Sub GRUPO 13,[5] IIIA
Sub GRUPO 9,[5] IID
Sub GRUPO 10,[5] IID
Sub GRUPO 13,[5] IIC
Sub GRUPO 11,[5] ID
Sub GRUPO G,[5] ID
Sub GRUPO 5,[5] IC
Sub GRUPO 6,[5] IC
Sub GRUPO 6,[5] IC
Sub GRUPO 8,[5] IC
Sub GRUPO D,[5] IC
Sub GRUPO H,[5] IC
Sub GRUPO 3,[5] IB
Sub GRUPO 3,[5] IB
Sub GRUPO 12,[5] IB
Sub GRUPO 1,[5] IA
Sub GRUPO 1,[5] IA
Sub GRUPO 1,[5] IA
Sub GRUPO 1,[5] IA
Sub GRUPO 1,[5] IA
Sub GRUPO 1,[5] IA
Sub GRUPO 1,[5] IA
Sub GRUPO 2,[5] IA
Sub GRUPO 2,[5] IA
Sub GRUPO 7,[5] IA
Sub GRUPO A,[5] IA
Sub GRUPO A,[5] IA
Sub GRUPO A,[5] IA
Sub GRUPO 13,[4] IIIA
Sub GRUPO 13,[4] IIIA
Sub GRUPO 13,[4] IIIA
Sub GRUPO 9,[4] IID
Sub GRUPO 10,[4] IID
Sub GRUPO 5,[4] ID
Sub GRUPO 11,[4] ID
Sub GRUPO 4,[4] IC
Sub GRUPO 6,[4] IC
Sub GRUPO 6,[4] IC
Sub GRUPO 8,[4] IC
Sub GRUPO 3,[4] IB
Sub GRUPO 3,[4] IB
Sub GRUPO 12,[4] IB
Sub GRUPO 1,[4] IA
Sub GRUPO 1,[4] IA
Sub GRUPO 1,[4] IA
Sub GRUPO 1,[4] IA
Sub GRUPO 1,[4] IA
Sub GRUPO 1,[4] IA
Sub GRUPO 1,[4] IA
Sub GRUPO 1,[4] IA
Sub GRUPO 2,[4] IA
Sub GRUPO 2,[4] IA
Sub GRUPO 7,[4] IA
Sub GRUPO A,[4] IA
Sub GRUPO A,[4] IA
Sub GRUPO A,[4] IA
Sub GRUPO A,[4] IA
Sub GRUPO B,[4] IA
Sub GRUPO C,[4] IA
Sub GRUPO D,[4] IA
Sub GRUPO E,[4] IA
Sub GRUPO F,[4] IA
Sub GRUPO F,[4] IA
Sub GRUPO F,[4] IA
Sub GRUPO G,[4] IA
Sub GRUPO G,[4] IA
Sub GRUPO G,[4] IA
Sub GRUPO H,[4] IA
Sub GRUPO I,[4] IA
Sub GRUPO I,[4] IA
Sub GRUPO J,[4] IA
Sub GRUPO L,[4] IA
Sub GRUPO M,[4] IA
Sub GRUPO N,[4] IA
Sub GRUPO O,[4] IA
Sub GRUPO P,[4] IA
Sub GRUPO 14,[3] IV B
Sub GRUPO R,[3] IV B
Sub GRUPO 13,[3] IIIA
Sub GRUPO 13,[3] IIIA
Sub GRUPO 13,[3] IIIA
Sub GRUPO P,[3] IIIA
Sub GRUPO 9,[3] IID
Sub GRUPO 10,[3] IID
Sub GRUPO H,[3] IID
Sub GRUPO D,[3] IIB
Sub GRUPO 6,[3] ID
Sub GRUPO 11,[3] ID
Sub GRUPO G,[3] ID
Sub GRUPO L,[3] ID
Sub GRUPO 4,[3] IC
Sub GRUPO 5,[3] IC
Sub GRUPO 6,[3] IC
Sub GRUPO 8,[3] IC
Sub GRUPO 8,[3] IC
Sub GRUPO F,[3] IC
Sub GRUPO F,[3] IC
Sub GRUPO F,[3] IC
Sub GRUPO I,[3] IC
Sub GRUPO J,[3] IC
Sub GRUPO 3,[3] IB
Sub GRUPO 3,[3] IB
Sub GRUPO 12,[3] IB
Sub GRUPO 1,[3] IA
Sub GRUPO 1,[3] IA
Sub GRUPO 1,[3] IA
Sub GRUPO 1,[3] IA
Sub GRUPO 1,[3] IA
Sub GRUPO 1,[3] IA
Sub GRUPO 1,[3] IA
Sub GRUPO 1,[3] IA
Sub GRUPO 1,[3] IA
Sub GRUPO 2,[3] IA
Sub GRUPO 2,[3] IA
Sub GRUPO 7,[3] IA
Sub GRUPO A,[3] IA
Sub GRUPO A,[3] IA
Sub GRUPO A,[3] IA
Sub GRUPO A,[3] IA
Sub GRUPO A,[3] IA
Sub GRUPO 14,[2] IVB
Sub GRUPO R,[2] IVB
Sub GRUPO 13,[2] IIIA
Sub GRUPO 13,[2] IIIA
Sub GRUPO 13,[2] IIIA
Sub GRUPO N,[2] IIIA
Sub GRUPO P,[2] IIIA
Sub GRUPO Q,[2] IIIA
Sub GRUPO 10,[2] IID
Sub GRUPO 10,[2] IID
Sub GRUPO J,[2] IID
Sub GRUPO D,[2] IIB
Sub GRUPO 8,[2] IIA
Sub GRUPO B,[2] IIA
Sub GRUPO O,[2] IIA
Sub GRUPO 6,[2] ID
Sub GRUPO 11,[2] ID
Sub GRUPO 11,[2] ID
Sub GRUPO F,[2] ID
Sub GRUPO F,[2] ID
Sub GRUPO F,[2] ID
Sub GRUPO G,[2] ID
Sub GRUPO G,[2] ID
Sub GRUPO 8,[2] IC
Sub GRUPO C,[2] IC
Sub GRUPO I,[2] IC
Sub GRUPO I,[2] IC
Sub GRUPO 3,[2] IB
Sub GRUPO 3,[2] IB
Sub GRUPO 4,[2] IB
Sub GRUPO 5,[2] IB
Sub GRUPO 12,[2] IB
Sub GRUPO L,[2] IB
Sub GRUPO 1,[2] IA
Sub GRUPO 1,[2] IA
Sub GRUPO 1,[2] IA
Sub GRUPO 1,[2] IA
Sub GRUPO 1,[2] IA
Sub GRUPO 1,[2] IA
Sub GRUPO 1,[2] IA
Sub GRUPO 1,[2] IA
Sub GRUPO 1,[2] IA
Sub GRUPO 1,[2] IA
Sub GRUPO 2,[2] IA
Sub GRUPO 2,[2] IA
Sub GRUPO 6,[2] IA
Sub GRUPO 7,[2] IA
Sub GRUPO 9,[2] IA
Sub GRUPO A,[2] IA
Sub GRUPO A,[2] IA
Sub GRUPO A,[2] IA
Sub GRUPO A,[2] IA
Sub GRUPO A,[2] IA
Sub GRUPO A,[2] IA
Sub GRUPO G,[2] IA
Sub GRUPO H,[2] IA
Sub GRUPO 2,[11] IB
Sub GRUPO 1,[11] IA
Sub GRUPO 7,[10] IC
Sub GRUPO 2,[10] IB
Sub GRUPO 1,[10] IA
Sub GRUPO 1,[10] IA
Sub GRUPO 14,[1] IV B
Sub GRUPO R,[1] IV B
Sub GRUPO R,[1] IVA
Sub GRUPO 13,[1] IIIA
Sub GRUPO 13,[1] IIIA
Sub GRUPO 13,[1] IIIA
Sub GRUPO O,[1] IIIA
Sub GRUPO 10,[1] IID
Sub GRUPO 10,[1] IID
Sub GRUPO I,[1] IID
Sub GRUPO I,[1] IID
Sub GRUPO M,[1] IID
Sub GRUPO N,[1] IID
Sub GRUPO 3,[1] IIB
Sub GRUPO 8,[1] IIA
Sub GRUPO C,[1] IIA
Sub GRUPO D,[1] IIA
Sub GRUPO E,[1] IIA
Sub GRUPO 11,[1] ID
Sub GRUPO 11,[1] ID
Sub GRUPO Q,[1] ID
Sub GRUPO 3,[1] IB
Sub GRUPO 4,[1] IB
Sub GRUPO L,[1] IB
Sub GRUPO 1,[1] IA
Sub GRUPO 1,[1] IA
Sub GRUPO 1,[1] IA
Sub GRUPO 1,[1] IA
Sub GRUPO 1,[1] IA
Sub GRUPO 1,[1] IA
Sub GRUPO 1,[1] IA
Sub GRUPO 1,[1] IA
Sub GRUPO 1,[1] IA
Sub GRUPO 1,[1] IA
Sub GRUPO 1,[1] IA
Sub GRUPO 2,[1] IA
Sub GRUPO 2,[1] IA
Sub GRUPO 5,[1] IA
Sub GRUPO 6,[1] IA
Sub GRUPO 6,[1] IA
Sub GRUPO 7,[1] IA
Sub GRUPO 8,[1] IA
Sub GRUPO 9,[1] IA
Sub GRUPO 12,[1] IA
Sub GRUPO A,[1] IA
Sub GRUPO A,[1] IA
Sub GRUPO A,[1] IA
Sub GRUPO A,[1] IA
Sub GRUPO A,[1] IA
Sub GRUPO A,[1] IA
Sub GRUPO A,[1] IA
Sub GRUPO B,[1] IA
Sub GRUPO F,[1] IA
Sub GRUPO F,[1] IA
Sub GRUPO F,[1] IA
Sub GRUPO G,[1] IA
Sub GRUPO G,[1] IA
Sub GRUPO G,[1] IA
Sub GRUPO H,[1] IA
Sub GRUPO J,[1] IA
Sub GRUPO P,[1] IA
Sub GRUPO A,58
Sub GRUPO A,15
Sub GRUPO A,14
Sub GRUPO A,12
Sub GRUPO A,12
Sub GRUPO 1,6
Sub GRUPO 13,3
Sub GRUPO F,3
Sub GRUPO G,3
Sub GRUPO A,3
Sub GRUPO 2,2
Sub GRUPO 3,2
Sub GRUPO 6,2
Sub GRUPO 10,2
Sub GRUPO 10,2
Sub GRUPO 11,2
Sub GRUPO C,2
Sub GRUPO I,2
Sub GRUPO P,2
Sub GRUPO R,2
Sub GRUPO 4,1
Sub GRUPO 5,1
Sub GRUPO 9,1
Sub GRUPO 9,1
Sub GRUPO 12,1
Sub GRUPO 14,1
Sub GRUPO B,1
Sub GRUPO E,1
Sub GRUPO H,1
Sub GRUPO J,1
Sub GRUPO L,1
Sub GRUPO M,1
Sub GRUPO N,1
Sub GRUPO O,1
Sub GRUPO A,1
Sub GRUPO A,1
Sub GRUPO B,1
Sub GRUPO C,1
Sub GRUPO D,1
Sub GRUPO E,1
Sub GRUPO F,1
Sub GRUPO F,1
Sub GRUPO F,1
Sub GRUPO G,1
Sub GRUPO G,1
Sub GRUPO G,1
Sub GRUPO H,1
Sub GRUPO I,1
Sub GRUPO I,1
Sub GRUPO J,1
Sub GRUPO L,1
Sub GRUPO M,1
Sub GRUPO N,1
Sub GRUPO O,1
Sub GRUPO P,1
Sub GRUPO Q,1
Sub GRUPO R,1
Sub GRUPO R,1
LTA,[1] IA
AH,[1] IA
LTA,[1] ID
AH,[1] IA
LTA,[1] IA
LTA,[1] IIIA
LTA,[1] IA
AH,[1] IA
AH,[1] IVA
LTA,[1] IA
LTA,[1] IA
LTA,[1] IIIA
LTA,[1] IID
AH,[1] IA
AH,[1] IA
AH,[1] IB
LTA,[2] IA
AH,[2] IA
LTA,[2] IC
AH,[2] IIA
LTA,[2] IA
LTA,[2] IIIA
LTA,[2] IB
AH,[2] IIIA
LTA,[2] IA
LTA,[2] IA
LTA,[2] IIIA
LTA,[2] IID
AH,[2] IA
AH,[2] IA
AH,[2] IB
LTA,[3] IA
LTA,[3] IC
LTA,[3] IA
LTA,[3] IIIA
LTA,[3] IB
AH,[3] IIIA
LTA,[3] IA
LTA,[3] IID
LTA,[3] IIIA
AH,[3] ID
LTA,[4] IA
LTA,[4] IA
LTA,[4] IIIA
LTA,[4] IB
AH,[4] IIIA
LTA,[4] IA
LTA,[4] IID
LTA,[4] IIIA
AH,[4] IID
LTA,[5] IA
LTA,[5] IIIA
LTA,[5] IB
LTA,[5] IA
LTA,[5] IID
LTA,[5] IIC
LTA,[6] IA
LTA,[6] IIIA
LTA,[6] IB
LTA,[6] IA
LTA,[6] IID
LTA,[6] ID
LTA,[7] IA
LTA,[7] IIIA
LTA,[7] IIIA
LTA,[7] IA
LTA,[7] IID
LTA,[8] IA
LTA,[8] IIIA
LTA,[8] IA
LTA,[8] IID
LTA,ENGEL 2017 [IA]
AH,ENGEL 2017 [IA]
LTA,ENGEL 2017 [IC]
AH,ENGEL 2017 [IIA]
LTA,ENGEL 2017 [IA]
LTA,ENGEL 2017 [IIIA]
LTA,ENGEL 2017 [IIIA]
AH,ENGEL 2017 [IIIA]
AH,ENGEL 2017 [IVA]
LTA,ENGEL 2017 [IA]
LTA,ENGEL 2017 [IID]
LTA,ENGEL 2017 [ID]
LTA,ENGEL 2017 [IID]
AH,ENGEL 2017 [IA]
AH,ENGEL 2017 [IA]
AH,ENGEL 2017 [IID]
LTA,ENGEL 2023 [IV]
AH,ENGEL 2023 [IV]
LTA,ENGEL 2023 [III]
AH,ENGEL 2023 [III]
LTA,ENGEL 2023 [IID]
LTA,ENGEL 2023 [IV]
LTA,ENGEL 2023 [IV]
AH,ENGEL 2023 [IV]
AH,ENGEL 2023 [IV]
LTA,ENGEL 2023 [IV]
LTA,ENGEL 2023 [III]
LTA,ENGEL 2023 [III]
LTA,ENGEL 2023 [IID]
AH,ENGEL 2023 [III]
AH,ENGEL 2023 [III]
AH,ENGEL 2023 [IV]
LTA,Ano da Cirrurgia [2014]
AH,Ano da Cirrurgia [2021]
LTA,Ano da Cirrurgia [2020]
AH,Ano da Cirrurgia [2021]
LTA,Ano da Cirrurgia [2020]
LTA,Ano da Cirrurgia [2015]
LTA,Ano da Cirrurgia [2015]
AH,Ano da Cirrurgia [2019]
AH,Ano da Cirrurgia [2022]
LTA,Ano da Cirrurgia [2014]
LTA,Ano da Cirrurgia [2015]
LTA,Ano da Cirrurgia [2016]
LTA,Ano da Cirrurgia [2018]
AH,Ano da Cirrurgia [2020]
AH,Ano da Cirrurgia [2020]
AH,Ano da Cirrurgia [2019]
LTA,Teve Crise Epiléptica no Primero Mês? [não]
AH,Teve Crise Epiléptica no Primero Mês? [não]
LTA,Teve Crise Epiléptica no Primero Mês? [não]
AH,Teve Crise Epiléptica no Primero Mês? [sim]
LTA,Teve Crise Epiléptica no Primero Mês? [sim]
LTA,Teve Crise Epiléptica no Primero Mês? [sim]
LTA,Teve Crise Epiléptica no Primero Mês? [não]
AH,Teve Crise Epiléptica no Primero Mês? [não]
LTA,Teve Crise Epiléptica no Primero Mês? [não]
LTA,Teve Crise Epiléptica no Primero Mês? [não]
LTA,Teve Crise Epiléptica no Primero Mês? [não]
LTA,Teve Crise Epiléptica no Primero Mês? [não]
AH,Teve Crise Epiléptica no Primero Mês? [não]
AH,Teve Crise Epiléptica no Primero Mês? [não]
AH,Teve Crise Epiléptica no Primero Mês? [sim]
LTA,Teve Ameaço Antes? [sim]
AH,Teve Ameaço Antes? [sim]
LTA,Teve Ameaço Antes? [não]
AH,Teve Ameaço Antes? [sim]
LTA,Teve Ameaço Antes? [não]
LTA,Teve Ameaço Antes? [sim (as vezes;as vezes)]
LTA,Teve Ameaço Antes? [sim]
AH,Teve Ameaço Antes? [sim]
LTA,Teve Ameaço Antes? [sim (tinha e desde dezembro voltou a ter sem anteceder crise(menopausa)?)]
LTA,Teve Ameaço Antes? [sim]
LTA,Teve Ameaço Antes? [sim]
LTA,Teve Ameaço Antes? [sim]
AH,Teve Ameaço Antes? [sim]
AH,Teve Ameaço Antes? [sim]
AH,Teve Ameaço Antes? [sim]
LTA,Teve Ameaço Depois? [sim]
AH,Teve Ameaço Depois? [sim]
LTA,Teve Ameaço Depois? [não]
AH,Teve Ameaço Depois? [sim]
LTA,Teve Ameaço Depois? [não]
LTA,Teve Ameaço Depois? [sim (as vezes)]
LTA,Teve Ameaço Depois? [sim]
AH,Teve Ameaço Depois? [não]
LTA,Teve Ameaço Depois? [sim(tinha e desde dezembro voltou a ter sem anteceder crise(menopausa)?)]
LTA,Teve Ameaço Depois? [sim]
LTA,Teve Ameaço Depois? [sim]
LTA,Teve Ameaço Depois? [não]
AH,Teve Ameaço Depois? [sim]
AH,Teve Ameaço Depois? [não]
AH,Teve Ameaço Depois? [sim]
LTA,Quando Teve Ameaço Depois? [2]
AH,Quando Teve Ameaço Depois? [red. Med.]
LTA,Quando Teve Ameaço Depois? [6]
AH,Quando Teve Ameaço Depois? [0]
LTA,Quando Teve Ameaço Depois? [stress]
LTA,Quando Teve Ameaço Depois? [0]
LTA,Quando Teve Ameaço Depois? [14]
AH,Quando Teve Ameaço Depois? [10]
LTA,Quando Teve Ameaço Depois? [10]
LTA,Quando Teve Ameaço Depois? [14]
AH,Quando Teve Ameaço Depois? [3]
AH,Quando Teve Ameaço Depois? [8]
AH,Quando Teve Ameaço Depois? [0]
LTA,O ameaço foi Igual aos anteriores? [sim]
AH,O ameaço foi Igual aos anteriores? [nao]
LTA,O ameaço foi Igual aos anteriores? [sim]
AH,O ameaço foi Igual aos anteriores? [sim]
LTA,O ameaço foi Igual aos anteriores? [sim]
LTA,O ameaço foi Igual aos anteriores? [sim]
LTA,O ameaço foi Igual aos anteriores? [nao]
AH,O ameaço foi Igual aos anteriores? [nao]
AH,O ameaço foi Igual aos anteriores? []
LTA,O ameaço foi Igual aos anteriores? [sim]
LTA,O ameaço foi Igual aos anteriores? [nao]
LTA,O ameaço foi Igual aos anteriores? [sim]
LTA,O ameaço foi Igual aos anteriores? [sim]
AH,O ameaço foi Igual aos anteriores? [sim]
AH,O ameaço foi Igual aos anteriores? [sim]
AH,O ameaço foi Igual aos anteriores? [sim]
LTA,O ameaço foi mais leve que aos anteriores? [sim]
AH,O ameaço foi mais leve que aos anteriores? [sim]
AH,O ameaço foi mais leve que aos anteriores? [sim]
LTA,O ameaço foi mais leve que aos anteriores? [sim]
LTA,O ameaço foi mais leve que aos anteriores? [sim]
LTA,O ameaço foi mais leve que aos anteriores? [nao]
AH,O ameaço foi mais leve que aos anteriores? [nao]
LTA,O ameaço foi mais leve que aos anteriores? [nao]
LTA,O ameaço foi mais leve que aos anteriores? [sim]
LTA,O ameaço foi mais leve que aos anteriores? [sim]
LTA,O ameaço foi mais leve que aos anteriores? [sim]
AH,O ameaço foi mais leve que aos anteriores? [nao]
AH,O ameaço foi mais leve que aos anteriores? [nao]
LTA,Teve Crise Motora? [sim]
AH,Teve Crise Motora? [nao]
LTA,Teve Crise Motora? [sim]
LTA,Teve Crise Motora? [nao]
LTA,Teve Crise Motora? [nao]
LTA,Teve Crise Motora? [nao]
AH,Teve Crise Motora? [nao]
AH,Teve Crise Motora? []
LTA,Teve Crise Motora? [nao]
LTA,Teve Crise Motora? [nao]
LTA,Teve Crise Motora? [nao]
LTA,Teve Crise Motora? []
AH,Teve Crise Motora? [sim]
AH,Teve Crise Motora? [nao]
LTA,Teve Crise de Ausência? [sim]
AH,Teve Crise de Ausência? [sim]
LTA,Teve Crise de Ausência? [nao]
LTA,Teve Crise de Ausência? [nao]
LTA,Teve Crise de Ausência? [nao]
LTA,Teve Crise de Ausência? [nao]
AH,Teve Crise de Ausência? [nao]
LTA,Teve Crise de Ausência? [nao]
LTA,Teve Crise de Ausência? [nao]
LTA,Teve Crise de Ausência? [nao]
AH,Teve Crise de Ausência? [nao]
AH,Teve Crise de Ausência? [nao]
LTA,Medicação [POLITERAPIA]
AH,Medicação [POLITERAPIA]
LTA,Medicação [POLITERAPIA]
AH,Medicação [MONOTERAPIA alta]
LTA,Medicação [MONOTERAPIA alta]
LTA,Medicação [POLITERAPIA]
LTA,Medicação [POLITERAPIA]
AH,Medicação [POLITERAPIA]
LTA,Medicação [MONOTERAPIA alta]
LTA,Medicação [POLITERAPIA]
LTA,Medicação [MONOTERAPIA alta]
LTA,Medicação [POLITERAPIA]
AH,Medicação [POLITERAPIA]
AH,Medicação [POLITERAPIA]
AH,Medicação [POLITERAPIA]
LTA,# [2]
AH,# [2]
LTA,# [3]
AH,# [1]
LTA,# [1]
LTA,# [3]
LTA,# [3]
AH,# [2]
LTA,# [1]
LTA,# [2]
LTA,# [1]
LTA,# [2]
AH,# [4]
AH,# [2]
AH,# [3]
LTA,Q3.3 Parou medicacao? (há quanto tempo) [?]
LTA,Q3.3 Parou medicacao? (há quanto tempo) [?]
LTA,Tempo Redução Medicação [2]
AH,Tempo Redução Medicação [1]
LTA,Tempo Redução Medicação [1]
AH,Tempo Redução Medicação [1]
LTA,Tempo Redução Medicação [?]
LTA,Tempo Redução Medicação [?]
LTA,Tempo Redução Medicação [9]
AH,Tempo Redução Medicação [?]
Epilepsia,Afasia inicial (Qualifier da semiologia): Sim
Epilepsia,Afasia pos-ictal (Qualifier da semiologia): Não
Epilepsia,Aura Modificada: Cognitivas (Mnemonico)
Epilepsia,Aura: Cognitivas (Mnemonico)
Epilepsia,Detalhamento Aura: Olfatorias
Epilepsia,Detalhamento da Aura Modificada: Sensação na Cabeça
Epilepsia,ECOG Pós Ressecção: Completa máximo
Epilepsia,Extensão altRB do ECOG: 2 Giros
Epilepsia,Frequência crises generalizadas (mensal) 
Epilepsia,Generalização Secundária  (Qualifier da semiologia): Não
Epilepsia,Hipotese Localizacional Final (semiologia+EEG+MRI+SISCOM): Central
Epilepsia,Hipotese semiologica: Dado Não Relevante
Epilepsia,Hipotese semiologica: Rolandico sensitivo
Epilepsia,Histórico familiar de crises (primeiro grau): Sim
Epilepsia,Idade Atual
Epilepsia,Lado  (Qualifier da semiologia): Esquerdo
Epilepsia,Lado (Qualifier da Hipotese Semiológica): Dado Não Relevante
Epilepsia,Lado (Qualifier da Hipotese Semiológica): Direito
Epilepsia,Lado (Qualifier da Localização EEG Ictal): Dado Não Relevante
Epilepsia,Lado (Qualifier da Localização EEG Ictal): Direito
Epilepsia,Lado (Qualifier da Localização EEG interictal): Direito
Epilepsia,Latencia EEG da crise injetada (em segundos)
Epilepsia,Latencias Clínica da crise injetada (em segundos)
Epilepsia,Localização Conexão anatomica hiperperfusão: Parietal
Epilepsia,Localização da RNM Anormal: Quadrante anterior
Epilepsia,Localização ECOG: Temporal
Epilepsia,Localização EEG (Ictal): Lateral
Epilepsia,Localização EEG (interictal): Temporo-occipital
Epilepsia,Localização Máxima anatomica hiperperfusão: Quadrante anterior
Epilepsia,Máximo das descargas do ECOG: Difusa
Epilepsia,Modificações na Aura da Semiologia da Crise Injetada: Sim
Epilepsia,Modificações na Semiologia da Crise Injetada: Não
Epilepsia,Qualifier 3 da Hipotese Localizacional Final (semiologia+EEG+MRI+SISCOM): Esquerdo
Epilepsia,Qualifier 3 da Localizacao Conexão anatomica hiperperfusão: Direito
Epilepsia,Qualifier 3 da Localização ECOG: Direito 
Epilepsia,Qualifier 3 da Localizacao Máxima anatomica hiperperfusão: Esquerdo
Epilepsia,Qualifier 4 da Hipotese Localizacional Final (semiologia+EEG+MRI+SISCOM): Eloquente
Epilepsia,Qualifier 4 da Localização da RNM Anormal: Eloquente
Epilepsia,Qualifier 4 da Localização ECOG: Não eloquente
Epilepsia,Qualifier 4 daLocalizacao Conexão anatomica hiperperfusão: Não eloquente
Epilepsia,Qualifier 4 daLocalizacao Máxima anatomica hiperperfusão: Não eloquente
Epilepsia,Qualifier Anterior da Localização da RNM Anormal: Anterior
Epilepsia,Qualifier Dado Não Relevante da Localização da RNM Anormal: Mesobasal
Epilepsia,Qualifier Esquerdo da Localização da RNM Anormal: Esquerdo
Epilepsia,Qualifier Mesobasal da Hipotese Localizacional Final (semiologia+EEG+MRI+SISCOM): Mesobasal
Epilepsia,Qualifier Mesobasal da Localizacao Conexão anatomica hiperperfusão: Mesobasal
Epilepsia,Qualifier Mesobasal da Localização ECOG: Lateral
Epilepsia,Qualifier Mesobasal da Localizacao Máxima anatomica hiperperfusão: Lateral
Epilepsia,Qualifier Posterior da Hipotese Localizacional Final (semiologia+EEG+MRI+SISCOM): Anterior
Epilepsia,Qualifier Posterior da Localizacao Conexão anatomica hiperperfusão: Anterior
Epilepsia,Qualifier Posterior da Localização ECOG: Anterior
Epilepsia,Qualifier Posterior da Localizacao Máxima anatomica hiperperfusão: Posterior
Epilepsia,RNM: Anormal
Epilepsia,Semiologia Crise Injetada: Identica
Epilepsia,Semiologia Modificada: Generalizadas
Epilepsia,Semiologia: Automatismos
Epilepsia,Sexo: Masculino
Epilepsia,Tipo da RNM Anormal: Esclerose Hipocampal
Epilepsia,Detalhamento Aura: Confusão Consciente
Epilepsia,Detalhamento da Aura Modificada: Gustatorias
Epilepsia,Localização Conexão anatomica hiperperfusão: Frontal
Epilepsia,Aura: Cefálica
Epilepsia,Detalhamento Aura: Sensação na cabeça
Epilepsia,Detalhamento da Aura Modificada: Déjà vu
Epilepsia,Hipotese semiologica: Frontal pre-motor
Epilepsia,Localização EEG (interictal): Quadrante posterior
Epilepsia,Tipo da RNM Anormal: Displasia Cortical Focal
Epilepsia,Detalhamento Aura: Extremidades Bilateral
Epilepsia,Tipo da RNM Anormal: Atrofia focal
Epilepsia,Aura Modificada: Viscerais
Epilepsia,Detalhamento Aura: Gustatorias
Epilepsia,Detalhamento da Aura Modificada: Extremidades Unilateral
Epilepsia,Localização ECOG: Quadrante posterior
Epilepsia,Localização EEG (Ictal): Multifocal Bilateral
Epilepsia,Hipotese Localizacional Final (semiologia+EEG+MRI+SISCOM): Frontal
Epilepsia,Hipotese semiologica: Sem hipotese
Epilepsia,Localização da RNM Anormal: Dado Não Relevante
Epilepsia,Tipo da RNM Anormal: Tumores
Epilepsia,Detalhamento da Aura Modificada: Auditivas
Epilepsia,Localização EEG (Ictal): Quadrante Posterior
Epilepsia,Localização EEG (interictal): Lateral
Epilepsia,Localização EEG (Ictal): Polar
Epilepsia,Localização EEG (interictal): Parietal
Epilepsia,Detalhamento da Aura Modificada: Estranheza
