Doenca,Classe
Externo,Transtornos do ouvido externo em doenças classificadas em outra parte
Túbulo-intersticiais,Transtornos renais túbulo-intersticiais em doenças classificadas em outra parte
Tendão,Traumatismo do músculo e tendão ao nível do antebraço
Nível,Traumatismo de nervos ao nível do ombro e do braço
Nível,Traumatismo de nervos ao nível do punho e da mão
Nível,Traumatismo de nervos ao nível do quadril e da coxa
Nível,Traumatismo dos nervos ao nível do tornozelo e do pé
Abdome,"Traumatismo superficial do abdome, do dorso e da pelve"
Envolvendo,Traumatismos por esmagamento envolvendo múltiplas regiões do corpo
Confirmação,"Tuberculose respiratória, com confirmação bacteriológica e histológica"
Pós-procedimentos,Transtornos do trato geniturinário pós-procedimentos não classificados em outra parte
Glândula,Neoplasia maligna da glândula supra-renal [Glândula adrenal]
Grau,Desnutrição protéico-calórica de graus moderado e leve
Incerto,Neoplasia de comportamento incerto ou desconhecido das glândulas endócrinas
Incerto,Neoplasia de comportamento incerto ou desconhecido das meninges
Incerto,Neoplasia de comportamento incerto ou desconhecido dos órgãos urinários
Infusão,"Complicações conseqüentes à infusão, transfusão ou injeção terapêutica"
Início,Transtornos emocionais com início especificamente na infância
Isquêmicos,Acidentes vasculares cerebrais isquêmicos transitórios e síndromes correlatas
Confirmadas,Outras formas de malária confirmadas por exames parasitológicos
Manuais,Contato com ferramentas manuais sem motor
Máquinas,Contato com outras máquinas e com as não especificadas
Máquinas,"Contato com motores, máquinas e ferramentas quentes"
Estruturais,"Rearranjos equilibrados e marcadores estruturais, não classificados em outra parte"
Proveniente,Achados anormais de material proveniente dos órgãos genitais femininos
Proveniente,Achados anormais de material proveniente dos órgãos genitais masculinos
Médica,Observação e avaliação médica por doenças e afecções suspeitas
Sem Menção,Febre reumática sem menção de comprometimento do coração
Metabólicos,Transtornos nutricionais e metabólicos em doenças classificadas em outra parte
Por,Febres transmitidas por mordedura de rato
Movimentos,Nistagmo e outros movimentos irregulares do olho
Pós-procedimentos,Afecções respiratórias pós-procedimentos não classificadas em outra parte
Não Classificada,Complicações de procedimentos não classificadas em outra parte
Não Classificada,Complicações do puerpério não classificadas em outra parte
Não Classificada,Hepatomegalia e esplenomegalia não classificadas em outra parte
Bacterianas,Outras doenças bacterianas não classificadas em outra parte
Virais,"Outras encefalites virais, não classificadas em outra parte"
Intestinais,"Outras helmintíases intestinais, não classificadas em outra parte"
Congênitas,Outras malformações congênitas não classificadas em outra parte
Articulares,Outros transtornos articulares não classificados em outra parte
Pós-procedimentos,Transtornos osteomusculares pós-procedimentos não classificados em outra parte
Neoplasias,Mieloma múltiplo e neoplasias malignas de plasmócitos
Nível,Amputação traumática ao nível do punho e da mão
Envolvendo,Queda no mesmo nível envolvendo gelo e neve
Originada,Hemorragia pulmonar originada no período perinatal
Obstrução,Íleo paralítico e obstrução intestinal sem hérnia
Órgãos,Ausência adquirida de órgãos não classificados em outra parte
Ossos,Neoplasia maligna dos ossos e cartilagens articulares dos membros
Objeto,Penetração de corpo ou objeto estranho através da pele
Orgânico,Transtorno mental orgânico ou sintomático não especificado
Virais,"Infecções intestinais virais, outras e as não especificadas"
Nocivas,Efeito tóxico de outras substâncias nocivas ingeridas como alimento
Outros Defeitos,Agenesia renal e outros defeitos de redução do rim
Outros,Auto-intoxicação intencional por outros gases e vapores
Outros,História familiar de outros transtornos específicos
Ouvido,Outros transtornos do ouvido não classificados em outra parte
Parte,"Queimadura e corrosão, parte não especificada do corpo"
Pele,Vasculite limitada a pele não classificadas em outra parte
Penicilina,Agente resistente à penicilina e antibióticos relacionados
Personalidade,Outros transtornos da personalidade e do comportamento do adulto
Personalidade,Transtornos mistos da personalidade e outros transtornos da personalidade
Plantas,Contato com outras plantas venenosas especificadas
Poeira,Pneumoconiose devida a poeira que contenham sílica
Intencionalmente,Lesão autoprovocada intencionalmente por afogamento e submersão
Transmitida,"Febre viral transmitida por artrópodes, não especificada"
Drogas,"Seqüelas de intoxicação por drogas, medicamentos e substâncias biológicas"
Acidental,Envenenamento [intoxicação] acidental por e exposição a pesticidas
Acidental,Envenenamento [intoxicação] acidental por e exposição ao álcool
Intencionalmente,Lesão autoprovocada intencionalmente por meios não especificados
Intencionalmente,Lesão autoprovocada intencionalmente por outros meios especificados
Intencionalmente,Lesão autoprovocada intencionalmente por precipitação de um lugar elevado
Provocado,Mordedura ou golpe provocado por crocodilo ou aligátor
Provocado,Mordedura ou golpe provocado por outros animais mamíferos
Provocado,Mordedura ou esmagamento provocado por outros répteis
Psicotrópicas,Intoxicação por drogas psicotrópicas não classificadas em outra parte
screening,"Achados anormais do rastreamento [""screening""] antenatal da mãe"
Sem Confirmação,"Tuberculose das vias respiratórias, sem confirmação bacteriológica ou histológica"
Hipnóticos,"Efeitos adversos de sedativos, hipnóticos e tranquilizantes [ansiolíticos]"
Vermelha,"Aplasia pura da série vermelha, adquirida [eritroblastopenia]"
Sinais,Outros sintomas e sinais relativos ao aparelho urinário
Sistema Nervoso,Transtornos pós-procedimento do sistema nervoso não classificados em outra parte
Sono,Transtornos não-orgânicos do sono devidos a fatores emocionais
Analgésicas,"Efeitos adversos de substâncias analgésicas, antipiréticas e antiinflamatórias"
Superior,"Fratura do membro superior, nível não especificado"
Tecidos Moles,"Outros transtornos dos tecidos moles, não classificados em outra parte"
Endócrinos,Outros transtornos endócrinos transitórios do período neonatal
rickettsioses,Febre maculosa [rickettsioses transmitidas por carrapatos]
Uso,Cuidados envolvendo o uso de procedimentos de reabilitação
Útero,"Doença inflamatória do útero, exceto o colo"
Útero,"Neoplasia maligna do útero, porção não especificada"
Valvas,Malformações congênitas das valvas aórtica e mitral
Valvas,Malformações congênitas das valvas pulmonar e tricúspide
Vancomicina,Agente resistente à vancomicina e antibióticos relacionados
Abelhas,"Contato com abelhas, vespas e vespões"
Vírus,Outras doenças por vírus não classificada em outra parte
Vulvovaginais,Ulceração e inflamação vulvovaginais em doenças classificadas em outra parte
Aguda,Laringite obstrutiva aguda [crupe] e epiglotite
Outras,Pneumoconiose devida a outras poeiras inorgânicas
Outras,Problemas relacionados com outras circunstâncias psicossociais
Lesão,Proteinúria isolada com lesão morfológica especificada
Originados,Transtornos cardiovasculares originados no período perinatal
Atuam Primariamente,Efeitos adversos de substâncias que atuam primariamente sobre os músculos lisos e esqueléticos e sobre o aparelho respiratório
Colisão,Ocupante de um veículo de transporte pesado traumatizado em colisão com um trem [comboio] ou um veículo ferroviário
Atuam Primariamente,Intoxicação por substâncias que atuam primariamente sobre os músculos lisos e esqueléticos e sobre o aparelho respiratório
Outras Localizações,Neoplasia maligna de outras localizações e de localizações mal definidas do aparelho respiratório e dos órgãos intratorácicos
Colisão,Ocupante de um veículo de transporte pesado traumatizado em colisão com um automóvel [carro] ou uma caminhonete
Pele,"Outras infecções virais caracterizadas por lesões da pele e das membranas mucosas, não classificadas em outra parte"
Colisão,"Ocupante de um automóvel [carro] traumatizado em colisão com um automóvel [carro], ""pick up"" ou caminhonete"
Medula Espinhal,"Neoplasia maligna da medula espinhal, dos nervos cranianos e de outras partes do sistema nervoso central"
Ossos,Neoplasia maligna dos ossos e das cartilagens articulares de outras localizações e de localizações não especificadas
Colisão,Ocupante de um automóvel [carro] traumatizado em colisão com um trem [comboio] ou um veículo ferroviário
Colisão,Ocupante de um triciclo motorizado traumatizado em colisão com um trem [comboio] ou um veículo ferroviário
Colisão,Ocupante de um veículo de transporte pesado traumatizado em colisão com um objeto fixo ou parado
Segundo Par,Transtornos do nervo óptico [segundo par] e das vias ópticas em doenças classificadas em outra parte
Espingarda,"Agressão por meio de disparo de espingarda, carabina ou arma de fogo de maior calibre"
Colocação,Agressão por meio de projeção ou colocação da vítima diante de um objeto em movimento
Afetam Principalmente,Atrofias sistêmicas que afetam principalmente o sistema nervoso central em doenças classificadas em outra parte
Substitutos Sintéticos,"Efeitos adversos de hormônios e seus substitutos sintéticos e antagonistas, não classificados em outra parte"
Colisão,Ocupante de um ônibus traumatizado em colisão com um trem [comboio] ou um veículo ferroviário
comboio,Ocupante de um trem [comboio] ou um veículo ferroviário traumatizado em um acidente de transporte
Tipo Especificado,"Acidente não-de-trânsito de tipo especificado, mas sendo desconhecido o modo de transporte da vítima"
Carabina,"Disparo de fuzil, carabina e arma de fogo de maior calibre, intenção não determinada"
Controlado,Exposição a fogo controlado fora de um edifício ou de outro tipo de construção
Não-controlado,Exposição a fogo não-controlado fora de um edifício ou de outro tipo de construção
Afetados,Feto e recém-nascido afetados por outras complicações do trabalho de parto e do parto
Substitutos Sintéticos,"Intoxicação por hormônios, seus substitutos sintéticos e seus antagonistas não classificados em outra parte"
Incerto,Neoplasia de comportamento incerto ou desconhecido de outras localizações e de localizações não especificadas
Outros,Neoplasia maligna de outros órgãos digestivos e de localizações mal definidas no aparelho digestivo
Colisão,Ocupante de um automóvel [carro] traumatizado em colisão com um objeto fixo ou parado
Colisão,Ocupante de um ônibus traumatizado em colisão com um automóvel [carro] ou uma caminhonete
Colisão,Ocupante de um triciclo motorizado traumatizado em colisão com um objeto fixo ou parado
Colisão,Ocupante de uma caminhonete traumatizado em colisão com um automóvel [carro] ou uma caminhonete
Colisão,Ocupante de uma caminhonete traumatizado em colisão com um trem [comboio] ou veículo ferroviário
Ouvido Médio,Outros transtornos do ouvido médio e da mastóide em doenças classificadas em outra parte
Sangue,Outros transtornos do sangue e dos órgãos hematopoéticos em doenças classificadas em outra parte
Transtornos,"Síndromes comportamentais associados a transtornos das funções fisiológicas e a fatores físicos, não especificadas"
Complicados,Trabalho de parto e parto complicados por hemorragia intraparto não classificados em outra parte
Exames,Achados anormais de exames para diagnóstico por imagem de outras estruturas do corpo
HIV,"Doença pelo vírus da imunodeficiência humana [HIV], resultando em doenças infecciosas e parasitárias"
Farmacológicas,Efeitos adversos de substâncias farmacológicas que atuam primariamente sobre os constituintes do sangue
Doenças,Infecções diretas da articulação em doenças infecciosas e parasitárias classificadas em outra parte
Incerto,Neoplasia de comportamento incerto ou desconhecido da cavidade oral e dos órgãos digestivos
Incerto,Neoplasia de comportamento incerto ou desconhecido do encéfalo e do sistema nervoso central
Colisão,Ocupante de um ônibus traumatizado em colisão com um objeto fixo ou parado
Colisão,Ocupante de uma caminhonete traumatizado em colisão com um objeto fixo ou parado
Rim,Outros transtornos do rim e do ureter em doenças classificadas em outra parte
Não Especificados,"Outros traumatismos e os não especificados do abdome, do dorso e da pelve"
Corrida,"Queda, permanência ou corrida diante de um objeto em movimento, intenção não determinada"
Desmoronamento,"Risco a respiração devido a desmoronamento, queda de terra e de outras substâncias"
Início Durante,Transtornos do funcionamento social com início especificamente durante a infância ou a adolescência
Tendão,Traumatismo de músculo e de tendão ao nível do quadril e da coxa
Nível do,"Traumatismo de vasos sangüíneos ao nível do abdome, do dorso e da pelve"
Colisão,"Motociclista traumatizado em colisão com um automóvel [carro], ""pick up"" ou caminhonete"
Colisão,"Pedestre traumatizado em colisão com um automóvel [carro], ""pick up"" ou caminhonete"
Intracranianos,Abscesso e granuloma intracranianos e intraspinais em doenças classificadas em outra parte
Outros Órgãos,"Achados anormais de material proveniente de outros órgãos, aparelhos, sistemas e tecidos"
Transtornos,Catarata e outros transtornos do cristalino em doenças classificadas em outra parte
Instrumentos,"Contato com elevadores e instrumentos de transmissão, não classificados em outra parte"
Gerais,"Dispositivos (aparelhos) gerais de uso hospitalar ou pessoal, associados a incidentes adversos"
HIV,Doença pelo vírus da imunodeficiência humana [HIV] resultando em outras doenças especificadas
Água,"Exposição a vapor de água, gases ou objetos quentes, intenção não determinada"
Caracterizada,Infecção viral não especificada caracterizada por lesões da pele e membranas mucosas
Tórax,Lesão por esmagamento do tórax e amputação traumática de parte do tórax
Órgãos,Neoplasia benigna de outros órgãos genitais femininos e de órgãos não especificados
Fenótipo,"Outras anomalias dos cromossomos sexuais, fenótipo feminino, não classificadas em outra parte"
Fenótipo,"Outras anomalias dos cromossomos sexuais, fenótipo masculino, não classificadas em outra parte"
Olho,Outros transtornos do olho e anexos em doenças classificadas em outra parte
Outras Substâncias,Presença de drogas e de outras substâncias normalmente não encontradas no sangue
Escorregão,"Queda no mesmo nível por escorregão, tropeção ou passos em falsos [traspés]"
Envolvendo,Seqüelas de traumatismos envolvendo múltiplas regiões do corpo e as não especificadas
Subseqüentes,"Transtornos do aparelho circulatório, subseqüentes a procedimentos não classificados em outra parte"
Relacionados,"Transtornos dos tecidos moles relacionados com o uso, uso excessivo e pressão"
Tendão,Traumatismo de músculo e tendão ao nível do punho e da mão
Músculo,Traumatismo de tendão e músculo ao nível do ombro e do braço
Tendão,Traumatismos do músculo e tendão ao nível do tornozelo e do pé
Durante,Acidente não especificado durante a prestação de cuidado médico e cirúrgico
Atitudes,"Aconselhamento relativo às atitudes, comportamento e orientação em matéria de sexualidade"
Outros,Agressão por meio de outros produtos químicos e substâncias nocivas especificados
Vapor,"Agressão por meio de vapor de água, gases ou objetos quentes"
Obstrutivas,Anomalias congênitas obstrutivas da pelve renal e malformações congênitas do ureter
Reacionais,Artropatias pós-infecciosas e reacionais em doenças infecciosas classificadas em outra parte
Situ,Carcinoma in situ de outros órgãos genitais e dos não especificados
Outras,Efeito tóxico da aflatoxina e de outras micotoxinas contaminantes de alimentos
Valvulares,Endocardite e transtornos valvulares cardíacos em doenças classificadas em outra parte
Outros Objetos,Inalação e ingestão de outros objetos causando obstrução do trato respiratório
Distensão,"Luxação, entorse e distensão da articulação e dos ligamentos do quadril"
Distensão,"Luxação, entorse e distensão das articulações e dos ligamentos do cotovelo"
Distensão,"Luxação, entorse e distensão das articulações e dos ligamentos do joelho"
Distensão,"Luxação, entorse e distensão de articulações e dos ligamentos do tórax"
Distensão,"Luxação, entorse ou distensão das articulações e dos ligamentos da cabeça"
Distensão,"Luxação, entorse ou distensão das articulações e dos ligamentos do pescoço"
Doenças Infecciosas,Meningite em outras doenças infecciosas e parasitárias classificadas em outra parte
Outros,Neoplasia maligna de outros órgãos genitais femininos e dos não especificados
Outros,Neoplasia maligna de outros órgãos genitais masculinos e dos não especificados
Devida,Obstrução do trabalho de parto devida a anormalidade pélvica da mãe
Tegumento,Outras afecções comprometendo o tegumento específicas do feto e do recém-nascido
Predominantemente,"Outras doenças de transmissão predominantemente sexual, não classificadas em outra parte"
Aparelhos,Outros dispositivos (aparelhos) associados a incidentes adversos e os não especificados
Sinais,Outros sintomas e sinais relativos à função cognitiva e à consciência
Sinais,Outros sintomas e sinais relativos ao aparelho digestivo e ao abdome
Sinais,Outros sintomas e sinais relativos às sensações e às percepções gerais
Colisão,Pedestre traumatizado em colisão com trem [comboio] ou um veículo ferroviário
Pelve,Transtornos inflamatórios da pelve feminina em doenças classificadas em outra parte
Órgãos Genitais,"Transtornos inflamatórios de órgãos genitais masculinos, não classificados em outra parte"
Tumoração,"Tumefação, massa ou tumoração localizadas da pele e do tecido subcutâneo"
Sem Motor,Acidente de uma aeronave sem motor causando traumatismo a ocupante
Consecutiva,Afogamento e submersão consecutiva a queda dentro de uma banheira
Conseqüente,Afogamento e submersão conseqüente a queda dentro de uma piscina
Conseqüentes,Afogamento e submersão conseqüentes a queda dentro de águas naturais
Precoces,Algumas complicações precoces dos traumatismos não classificadas em outra parte
Mãe,Assistência prestada à mãe por uma desproporção conhecida ou suspeita
Solventes Orgânicos,"Auto-intoxicação intencional por solventes orgânicos, hidrocarbonetos halogenados e seus vapores"
Colisão,Ciclista traumatizado em colisão com um objeto fixo ou parado
Alimentos,"Contato com bebidas, alimentos, gordura e óleo de cozinha quentes"
Substâncias,Efeito tóxico de substâncias nocivas consumidas como fruto do mar
Tipo Especificado,"Exposição a outro tipo especificado de fumaça, fogo ou chamas"
Complicando,"Hipertensão pré-existente complicando a gravidez, o parto e o puerpério"
Alimentos,Inalação e ingestão de alimentos causando obstrução do trato respiratório
Exposição,Intoxicação acidental por e exposição a outros gases e vapores
Intencionalmente,"Lesão autoprovocada intencionalmente pela fumaça, pelo fogo e por chamas"
Colisão,Motociclista traumatizado em colisão com um objeto fixo ou parado
Incerto,Neoplasia de comportamento incerto ou desconhecido dos órgãos genitais femininos
Incerto,Neoplasia de comportamento incerto ou desconhecido dos órgãos genitais masculinos
Congênitas,"Outras malformações congênitas da língua, da boca e da faringe"
Congênitas,Outras malformações congênitas dos ossos do crânio e da face
Durante,Outros acidentes durante a prestação de cuidados médicos e cirúrgicos
Motor,Acidente de aeronave a motor causando traumatismo ao ocupante
Causando,Acidente com embarcação causando outro tipo de traumatismo
perda,"Alopécia cicatricial [perda de cabelos ou pêlos, cicatricial]"
Administrada,Complicações da anestesia administrada durante o puerpério
Aborto,Complicações conseqüentes a aborto e gravidez ectópica ou molar
Cortante,"Contato com objeto cortante ou penetrante, intenção não determinada"
Segundo,Corrosões classificadas segundo a extensão da superfície corporal atingida
Anestesiologia,"Dispositivos (aparelhos) de anestesiologia, associados a incidentes adversos"
Cardiovasculares,"Dispositivos (aparelhos) cardiovasculares, associados a incidentes adversos"
Ortopédicos,"Dispositivos (aparelhos) ortopédicos, associado a incidentes adversos"
Utilizados,"Dispositivos (aparelhos) utilizados em neurologia, associados a incidentes adversos"
Utilizados,"Dispositivos (aparelhos) utilizados em oftalmologia, associados a incidentes adversos"
Utilizados,"Dispositivos (aparelhos) utilizados em otorrinolaringologia, associados a incidentes adversos"
Utilizados,"Dispositivos (aparelhos) utilizados em radiologia, associados a incidentes adversos"
Determinada,Evidência de alcoolismo determinada pelo nível da intoxicação
Após,Exame de seguimento após tratamento por neoplasia maligna
Pneumático,"Explosão ou ruptura de pneumático, tubulação ou mangueira, pressurizados"
Afetados,Feto e recém-nascido afetados por complicações maternas da gravidez
Cabeludo,Lesão do couro cabeludo devida a traumatismo de parto
Contra,Necessidade de imunização contra outras doenças infecciosas únicas
Associada,Necessidade de imunização associada contra combinações de doenças infecciosas
Não Especificado,Nefrite túbulo-intersticial não especificada se aguda ou crônica
Secundária,Neoplasia maligna secundária dos órgãos respiratórios e digestivos
Localizadas,Outras infecções localizadas da pele e do tecido subcutâneo
Alimentares,"Outras intoxicações alimentares bacterianas, não classificadas em outra parte"
Congênitas,Outras malformações congênitas do trato digestivo superior
Relacionados,Outros problemas relacionados com a educação da criança
Aparelho,Outros transtornos do aparelho digestivo do período perinatal
Não-inflamatórios,"Outros transtornos não-inflamatórios do útero, exceto do colo do útero"
Coluna,"Outros traumatismos de coluna e tronco, nível não especificado"
Metabólicos,Outros distúrbios eletrolíticos e metabólicos transitórios do período neonatal
Amianto,Pneumoconiose devida a amianto [asbesto] e outras fibras minerais
Algumas,Problemas relacionados com algumas outras circunstâncias psicossociais
Desenvolvimento,Transtornos específicos do desenvolvimento da fala e da linguagem
Comportamentais,Transtornos mentais e comportamentais devidos ao uso de álcool
Comportamentais,Transtornos mentais e comportamentais devidos ao uso de alucinógenos
Comportamentais,Transtornos mentais e comportamentais devidos ao uso de canabinóides
Comportamentais,Transtornos mentais e comportamentais devidos ao uso da cocaína
Comportamentais,Transtornos mentais e comportamentais devidos ao uso de opiáceos
Comportamentais,Transtornos mentais e comportamentais devidos ao uso de solventes voláteis
Comportamentais,Transtornos mentais e comportamentais devidos ao uso de fumo
Função,Transtornos resultantes de função renal tubular alterada
Tendão,Traumatismos de músculo e de tendão ao nível da perna
Elevada,Velocidade de hemossedimentação elevada e outras anormalidades da viscosidade plasmática
Gestacionais,"Edema e proteinúria gestacionais [induzidos pela gravidez], sem hipertensão"
Aguda,Síndrome respiratória aguda grave [severe acute respiratory syndrome SARS]
Hemorragia,Laceração intracraniana e hemorragia devidas a traumatismo de parto
Localizações,Neoplasias malignas de localizações múltiplas independentes (primárias)
Membro,"Outros traumatismos de membro inferior, nível não especificado"
Membro,"Outros traumatismos de membro superior, nível não especificado"
Metabólicos,"Transtornos endócrinos e metabólicos pós-procedimentos, não classificados em outra parte"
Envolvendo,Amputações traumáticas envolvendo múltiplas regiões do corpo
Envolvendo,Traumatismos superficiais envolvendo múltiplas regiões do corpo
Cerebral,"Acidente vascular cerebral, não especificado como hemorrágico ou isquêmico"
Objeto,"Impacto causado por objeto lançado, projetado ou em queda"
Crônica,Doença respiratória crônica originada no período perinatal
Respiratórias,Outras afecções respiratórias originadas no período perinatal
Ativo,Impacto acidental ativo ou passivo causado por equipamento esportivo
Ativo,Impacto acidental ativo ou passivo causado por outros objetos
Animais,"Contato com animais ou plantas venenosos, sem especificação"
Outros,Efeitos adversos de outros antiinfecciosos e antiparasitários sistêmicos
Outros,"Efeito tóxico de outros gases, fumaças e vapores"
Ouvido,Malformações congênitas do ouvido causando comprometimento da audição
Induzida,Hipertensão gestacional [induzida pela gravidez] com proteinúria significativa
Intencionalmente,"Lesão autoprovocada intencionalmente por enforcamento, estrangulamento e sufocação"
Intencionalmente,Lesão autoprovocada intencionalmente por objeto cortante ou penetrante
Audição,Perda de audição por transtorno de condução e/ou neuro-sensorial
Propósitos,Procedimentos para outros propósitos exceto cuidados de saúde
Cerebrais,Síndromes vasculares cerebrais que ocorrem em doenças cerebrovasculares
Rim,"Neoplasia maligna do rim, exceto pelve renal"
Substâncias,Intoxicação por outras substâncias antiinfecciosas ou antiparasitárias sistêmicas
Substâncias,Efeitos adversos de substâncias de ação primariamente sistêmica
Substâncias,Seqüelas de efeitos tóxicos de substâncias de origem predominantemente não-medicinal
Bacterianas,Outras doenças bacterianas zoonóticas não classificadas em outra parte
Maternas,"Doenças infecciosas e parasitárias maternas classificáveis em outra parte mas que compliquem a gravidez, o parto e o puerpério"
Obstétrica,"Morte, por qualquer causa obstétrica, que ocorre mais de 42 dias, mas menos de 1 ano, após o parto"
Serviços de Saúde,"Pessoas em contato com os serviços de saúde para outros aconselhamentos e conselho médico, não classificados em outra parte"
Classificadas em Outra Parte,"Outras doenças da mãe, classificadas em outra parte, mas que complicam a gravidez o parto e o puerpério"
Animal,Pessoa montada em animal ou ocupante de um veículo a tração animal traumatizado em um acidente de transporte
Acidental,Envenenamento [intoxicação] acidental por e exposição a outras substâncias farmacológicas de ação sobre o sistema nervoso autônomo
Exposição,"Envenenamento [intoxicação] por e exposição a solventes orgânicos e hidrocarbonetos halogenados e seus vapores, intenção não determinada"
Intencionalmente,Lesão autoprovocada intencionalmente por disparo de outra arma de fogo e de arma de fogo não especificada
Intencional,"Auto-intoxicação por e exposição, intencional, a outras substâncias farmacológicas de ação sobre o sistema nervoso autônomo"
Distensão,"Luxação, entorse e distensão das articulações e dos ligamentos ao nível do punho e da mão"
Distensão,"Luxação, entorse e distensão das articulações e dos ligamentos ao nível do tornozelo e do pé"
Autoprovocada,"Seqüelas de uma lesão autoprovocada intencionalmente, de agressão ou de um fato cuja intenção é indeterminada"
Medula Lombar,"Traumatismo dos nervos e da medula lombar ao nível do abdome, do dorso e da pelve"
Espingarda,Agressão por meio de disparo de outra arma de fogo ou de arma não especificada
Acidental,Envenenamento [intoxicação] acidental por e exposição a solventes orgânicos e hidrocarbonetos halogenados e seus vapores
Ação Essencialmente,"Intoxicação por substâncias de ação essencialmente sistêmica e substâncias hematológicas, não classificadas em outra parte"
Distensão,"Luxação, entorse ou distensão das articulações e dos ligamentos da coluna lombar e da pelve"
Comportamento,"Transtornos de personalidade e do comportamento devidos a doença, a lesão e a disfunção cerebral"
Intencional,"Auto-intoxicação por e exposição, intencional, a outros produtos químicos e substâncias nocivas não especificadas"
Afetados,"Feto e recém-nascido afetados por complicações da placenta, do cordão umbilical e das membranas"
Outras,"Intoxicação por diuréticos e outras drogas, medicamentos e substâncias biológicas e as não especificadas"
Corpo,Objeto estranho deixado acidentalmente no corpo durante a prestação de cuidados cirúrgicos e médicos
Congênitas,"Síndromes com malformações congênitas devidas a causas exógenas conhecidas, não classificadas em outra parte"
Utilizados,"Dispositivos (aparelhos) utilizados em cirurgia geral ou cirurgia plástica, associados a incidente adversos"
Exposição,"Envenenamento [intoxicação] por e exposição a outros gases e vapores, intenção não determinada"
Intencionalmente,Lesão autoprovocada intencionalmente por precipitação ou permanência diante de um objeto em movimento
Água,Mergulho ou pulo na água causando outro traumatismo que não afogamento ou submersão
Mentais,Outros transtornos mentais devidos a lesão e disfunção cerebral e a doença física
Dependência,Problemas relacionados com a dependência de uma pessoa que oferece cuidados de saúde
Patins,"Queda envolvendo patins de rodas ou para gelo, esqui ou pranchas de rodas"
Apófise,"Transtornos do ouvido e da apófise mastóide pós-procedimentos, não classificados em outra parte"
Inalação,"Afecções respiratórias devidas a inalação de produtos químicos, gases, fumaças e vapores"
Fontes,Contato com outras fontes de calor ou com substâncias quentes não especificados
Congênitas,"Deformidades osteomusculares congênitas da cabeça, da face, da coluna e do tórax"
Pisoteado,"Esmagado, empurrado ou pisoteado por multidão ou debandada em massa de pessoas"
Distensão,"Luxação, entorse e distensão das articulações e dos ligamentos da cintura escapular"
Outras Partes,Neoplasia maligna de outras partes e de partes não especificadas da boca
Outras Partes,Neoplasia maligna de outras partes e de partes não especificadas da língua
Envolvendo,"Outros traumatismos envolvendo regiões múltiplas do corpo, não classificados em outra parte"
Outros,Pneumonia devida a outros microorganismos infecciosos especificados não classificados em outra parte
Ombro,"Queimadura e corrosão do ombro e membro superior, exceto punho e mão"
Devidas,Reações e intoxicações devidas a drogas administradas ao feto e ao recém-nascido
Orgânica,Síndrome amnésica orgânica não induzida pelo álcool ou por outras substâncias psicoativas
Comportamentais,"Transtornos mentais e comportamentais associados ao puerpério, não classificados em outra parte"
Comportamentais,Transtornos psicológicos e comportamentais associados ao desenvolvimento sexual e à sua orientação
Metabolismo,Transtornos transitórios do metabolismo do cálcio e do magnésio do período neonatal
Metabolismo,Transtornos transitórios do metabolismo dos carboidratos específicos do feto e do recém-nascido
Devidas,Alterações da pele devidas à exposição crônica à radiação não ionizante
Mãe,Assistência prestada à mãe por outros problemas fetais conhecidos ou suspeitados
Intencional,"Auto-intoxicação por e exposição, intencional, a analgésicos, antipiréticos e anti-reumáticos, não-opiáceos"
Utensílios,Contato com outros utensílios manuais e aparelhos domésticos equipados com motor
Utilizados,"Dispositivos (aparelhos) utilizados em medicina física (fisiatria), associado a incidentes adversos"
Durante,Erros de dosagem durante a prestação de cuidados médicos e cirúrgicos
Intencionalmente,"Lesão autoprovocada intencionalmente por vapor de água, gases ou objetos quentes"
Comportamentais,Transtornos mentais e comportamentais devidos ao uso de sedativos e hipnóticos
Rastreamento,"Exame especial de rastreamento (""screening"") de doenças infecciosas e parasitárias"
Comprimido,"Apertado, colhido, comprimido ou esmagado dentro de ou entre objetos"
Durante,Assepsia insuficiente durante a prestação de cuidados cirúrgicos e médicos
Pontapé,"Golpe, pancada, pontapé, mordedura ou escoriação infligidos por outra pessoa"
Sinais,Outros sintomas e sinais relativos aos aparelhos circulatório e respiratório
Sinais,Outros sintomas e sinais relativos aos sistemas nervoso e osteomuscular
Dispositivos,"Complicações de outros dispositivos protéticos, implantes e enxertos internos"
Dedos,Deformidades adquiridas dos dedos das mãos e dos pés
Afecções,Enfisema intersticial e afecções correlatas originadas no período perinatal
Contra,Necessidade de imunização contra uma única doença bacteriana
Cólon,"Neoplasia benigna do cólon, reto, canal anal e ânus"
Agudas,Outras alterações agudas da pele devidas a radiação ultravioleta
Segundo,Queimaduras classificadas segundo a extensão da superfície corporal atingida
Afecções,"Transtornos tireoidianos e afecções associadas, relacionados à deficiência de iodo"
Medula,Traumatismo de nervos e da medula espinhal ao nível cervical
Com,Outras síndromes com malformações congênitas que acometem múltiplos sistemas
Outro,Influenza devida a outro vírus da influenza [gripe] identificado
Induzida,Hipertensão gestacional [induzida pela gravidez] sem proteinúria significativa
Causadas,Outras infecções causadas por clamídias transmitidas por via sexual
Protéticos,"Complicações de dispositivos protéticos, implantes e enxertos geniturinários internos"
Protéticos,"Complicações de dispositivos protéticos, implantes e enxertos ortopédicos internos"
Estava,"Queda, enquanto estava sendo carregado ou apoiado por outra(s) pessoa(s)"
